Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
1	TRENDS IN ECOLOGY & EVOLUTION	TRENDS ECOL EVOL	0169-5347	36,697	15.236	14.694	18.964	3.028	72	11.8	6.2	0.035920	7.491	0.00	99.086	4.26704
2	Nature Ecology & Evolution	NAT ECOL EVOL	2397-334X	3,206	10.965	10.518	10.969	3.262	214	1.4	7.5	0.016670	5.537	91.59	97.043	1.98091
3	FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	FRONT ECOL ENVIRON	1540-9295	10,483	10.935	10.657	11.692	1.618	55	7.8	6.4	0.015300	3.835	63.64	98.738	1.81720
4	Annual Review of Ecology Evolution and Systematics	ANNU REV ECOL EVOL S	1543-592X	20,257	10.878	10.776	15.580	0.455	22	16.7	8.5	0.011780	6.811	0.00	95.433	1.40004
5	ISME Journal	ISME J	1751-7362	23,603	9.493	9.006	10.872	2.089	257	5.5	7.5	0.051330	3.341	98.83	95.057	6.09744
6	GLOBAL CHANGE BIOLOGY	GLOBAL CHANGE BIOL	1354-1013	42,119	8.880	8.181	10.171	2.185	491	6.8	7.8	0.075640	3.338	95.52	97.995	8.98409
7	ECOLOGY LETTERS	ECOL LETT	1461-023X	32,776	8.699	8.318	11.576	1.776	170	9.1	9.1	0.046530	4.604	88.24	96.037	5.52639
8	ECOLOGICAL MONOGRAPHS	ECOL MONOGR	0012-9615	11,025	7.698	7.587	10.890	2.316	38	17.8	10.4	0.007750	4.023	81.58	95.427	0.92154
9	Methods in Ecology and Evolution	METHODS ECOL EVOL	2041-210X	11,672	7.099	6.759	9.544	1.609	215	5.1	7.8	0.036720	3.541	93.02	94.817	4.36222
10	Molecular Ecology Resources	MOL ECOL RESOUR	1755-098X	10,473	7.049	6.422	7.208	1.558	120	6.8	6.5	0.019000	2.248	98.33	90.436	2.25763
11	CONSERVATION BIOLOGY	CONSERV BIOL	0888-8892	21,980	6.194	5.984	6.111	1.512	127	12.6	7.4	0.019450	1.990	92.91	93.962	2.31052
12	ECOGRAPHY	ECOGRAPHY	0906-7590	11,508	5.946	5.623	6.691	1.778	176	8.1	9.1	0.020530	2.414	93.18	93.477	2.43895
13	MOLECULAR ECOLOGY	MOL ECOL	0962-1083	39,464	5.855	5.229	6.614	1.342	348	8.2	8.0	0.060180	2.183	96.55	88.041	7.14866
14	JOURNAL OF APPLIED ECOLOGY	J APPL ECOL	0021-8901	19,342	5.782	5.508	6.533	1.765	268	9.3	8.2	0.023780	2.037	93.66	92.005	2.82532
15	Advances in Ecological Research	ADV ECOL RES	0065-2504	2,205	5.724	5.345	5.371	2.077	13	18.8	6.2	0.001740	1.888	0.00	91.159	0.20742
16	JOURNAL OF ECOLOGY	J ECOL	0022-0477	19,532	5.687	5.323	6.817	1.870	193	10.3	9.9	0.023130	2.286	97.41	92.752	2.74828
17	GLOBAL ECOLOGY AND BIOGEOGRAPHY	GLOBAL ECOL BIOGEOGR	1466-822X	11,864	5.667	5.365	7.144	1.460	124	7.1	8.7	0.021920	2.606	98.39	93.470	2.60438
18	Ecosystem Services	ECOSYST SERV	2212-0416	4,552	5.572	4.203	6.497	1.935	200	3.2	6.2	0.008310	1.117	96.00	90.047	0.98701
19	LANDSCAPE AND URBAN PLANNING	LANDSCAPE URBAN PLAN	0169-2046	16,054	5.144	4.799	6.571	1.257	218	7.7	7.8	0.014880	1.282	96.79	94.366	1.76802
20	FUNCTIONAL ECOLOGY	FUNCT ECOL	0269-8463	15,830	5.037	4.805	5.827	1.190	237	9.3	9.3	0.022510	1.991	93.25	88.110	2.67406
21	ECOSYSTEMS	ECOSYSTEMS	1432-9840	9,915	4.555	4.422	4.951	1.431	116	10.2	10.2	0.011170	1.605	100.00	87.500	1.32730
