Journal Data Filtered By: Selected Categories: GU Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
ECOLOGY,0012-9658,1939-9170,"ECOLOGY - SCIE","72,370",5.499,"Q1",1.44,14.02%,6.001,5.297,1.360,0.02900,6.07782,1.896,87.048,314,10.7,16.2,100.00%,314,
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,1471-2954,"ECOLOGY - SCIE","64,652",5.349,"Q1",1.30,24.80%,5.977,5.178,1.015,0.06107,12.79564,2.085,84.733,559,9.4,10.2,94.11%,594,
GLOBAL CHANGE BIOLOGY,1354-1013,1365-2486,"ECOLOGY - SCIE","57,192",10.863,"Q1",2.55,22.08%,11.716,10.034,2.909,0.06692,14.02225,3.415,97.785,546,7.7,7.1,93.65%,583,
MARINE ECOLOGY PROGRESS SERIES,0171-8630,1616-1599,"ECOLOGY - SCIE","44,961",2.824,"Q2",0.96,1.98%,3.090,2.624,0.708,0.01788,3.74786,0.830,67.205,364,11.8,14.2,98.38%,370,
MOLECULAR ECOLOGY,0962-1083,1365-294X,"ECOLOGY - SCIE","44,625",6.185,"Q1",1.43,18.71%,6.801,5.520,1.200,0.04047,8.47956,2.009,85.675,413,8.2,8.8,98.57%,419,
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,"ECOLOGY - SCIE","44,127",17.712,"Q1",1.73,19.58%,20.691,17.173,5.452,0.02818,5.90450,7.357,99.090,0,6.5,12.7,0.00%,84,
ECOLOGY LETTERS,1461-023X,1461-0248,"ECOLOGY - SCIE","41,215",9.492,"Q1",2.52,22.11%,11.721,9.068,2.559,0.03336,6.98956,4.085,95.482,185,9.3,10.1,86.85%,213,
BIOLOGICAL CONSERVATION,0006-3207,1873-2917,"ECOLOGY - SCIE","39,669",5.990,"Q1",1.39,11.08%,6.552,5.550,1.837,0.03339,6.99741,1.712,87.694,380,7.9,9.5,93.83%,405,
OECOLOGIA,0029-8549,1432-1939,"ECOLOGY - SCIE","37,835",3.225,"Q2",0.87,14.54%,3.665,3.125,0.690,0.01522,3.18931,1.044,64.759,241,11.5,16.6,97.18%,248,
EVOLUTION,0014-3820,1558-5646,"ECOLOGY - SCIE","33,940",3.694,"Q2",1.02,16.45%,3.987,3.413,1.111,0.01648,3.45318,1.459,64.329,217,11.3,16.6,100.00%,217,
ISME Journal,1751-7362,1751-7370,"ECOLOGY - SCIE","33,484",10.302,"Q1",2.82,49.41%,12.284,9.797,2.271,0.04488,9.40315,3.506,94.575,340,7.6,6.2,99.13%,343,
AMERICAN NATURALIST,0003-0147,1537-5323,"ECOLOGY - SCIE","32,694",3.926,"Q1",1.08,8.14%,4.286,3.761,1.513,0.01311,2.74873,1.633,74.602,158,13.4,21.1,100.00%,158,
ECOLOGICAL ECONOMICS,0921-8009,1873-6106,"ECOLOGY - SCIE","32,196",5.389,"Q1",1.57,10.26%,6.233,5.019,1.640,0.02190,4.58902,1.454,84.358,255,8.2,10.1,97.70%,261,
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1873-2305,"ECOLOGY - SCIE","30,604",5.567,"Q1",1.55,9.32%,6.064,5.086,1.764,0.02248,4.71170,1.218,89.088,309,8.5,8.1,98.41%,314,
OIKOS,0030-1299,1600-0706,"ECOLOGY - SCIE","25,814",3.903,"Q1",1.13,14.17%,4.340,3.770,0.995,0.01165,2.44166,1.331,75.602,190,10.7,15.4,100.00%,190,
JOURNAL OF APPLIED ECOLOGY,0021-8901,1365-2664,"ECOLOGY - SCIE","25,439",6.528,"Q1",1.70,22.95%,7.266,6.197,1.187,0.02159,4.52375,1.974,93.017,261,7.9,9.8,93.88%,278,
CONSERVATION BIOLOGY,0888-8892,1523-1739,"ECOLOGY - SCIE","25,284",6.560,"Q1",1.57,29.12%,7.838,6.079,2.209,0.01571,3.29221,2.254,91.904,190,7.5,13.2,88.37%,215,
JOURNAL OF ECOLOGY,0022-0477,1365-2745,"ECOLOGY - SCIE","24,974",6.256,"Q1",1.93,13.11%,7.125,5.788,1.331,0.01843,3.86202,2.055,92.335,316,9.7,10.8,96.93%,326,
ECOLOGICAL APPLICATIONS,1051-0761,1939-5582,"ECOLOGY - SCIE","24,246",4.657,"Q1",1.20,20.26%,5.412,4.511,1.526,0.01449,3.03610,1.572,76.306,208,9.2,12.1,99.52%,209,
Annual Review of Ecology Evolution and Systematics,1543-592X,1545-2069,"ECOLOGY - SCIE","23,595",13.915,"Q1",n/a,0.00%,19.387,13.830,0.840,0.00889,1.86449,6.970,94.747,0,8.0,18.0,0.00%,25,
ECOLOGICAL ENGINEERING,0925-8574,1872-6992,"ECOLOGY - SCIE","22,968",4.035,"Q1",0.83,2.50%,4.611,3.743,0.755,0.01810,3.79297,0.754,64.545,289,8.8,6.2,96.98%,298,
LANDSCAPE AND URBAN PLANNING,0169-2046,1872-6062,"ECOLOGY - SCIE","22,743",6.142,"Q1",1.96,16.80%,7.960,5.774,1.749,0.01602,3.35798,1.550,92.062,172,7.2,7.9,96.09%,179,
Biogeosciences,1726-4170,1726-4189,"ECOLOGY - SCIE","22,556",4.295,"Q1",1.15,100.00%,4.787,3.960,1.080,0.02909,6.09607,1.471,79.131,332,9.6,6.7,97.94%,339,
ECOLOGICAL MODELLING,0304-3800,1872-7026,"ECOLOGY - SCIE","22,498",2.974,"Q2",0.81,9.59%,3.264,2.665,0.821,0.01125,2.35704,0.747,59.337,274,10.4,12.1,98.21%,279,
FUNCTIONAL ECOLOGY,0269-8463,1365-2435,"ECOLOGY - SCIE","21,204",5.608,"Q1",1.44,14.31%,6.749,5.422,1.540,0.02064,4.32586,1.993,88.253,248,9.5,9.5,94.30%,263,
JOURNAL OF ANIMAL ECOLOGY,0021-8790,1365-2656,"ECOLOGY - SCIE","20,395",5.091,"Q1",2.16,21.47%,5.537,4.691,1.851,0.01359,2.84914,1.777,90.701,278,10.0,12.5,96.19%,289,
