"Journal Data Filtered By:  Selected Categories: ECOLOGY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"ECOLOGY","ECOLOGY","0012-9658","1939-9170","ECOLOGY - SCIE","72,018","6.431","Q1","1.36","18.96"%," 22/173 ","6.33","6.242","1.421"," 22/189 ","88.62","0.024","5.228","1.769","87.57","Q1","271","100"%,"16.5","10.4","271",
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","0962-8452","1471-2954","ECOLOGY - SCIE","67,725","5.53","Q1","1.27","32.84"%," 30/173 ","6.03","5.387","1.319"," 28/189 ","85.45","0.051","10.989","1.907","82.95","Q1","590","94.75"%,"10.2","9.6","559",
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","1354-1013","1365-2486","ECOLOGY - SCIE","66,410","13.211","Q1","2.44","30.54"%," 5/173 ","13.111","12.441","1.835"," 3/189 ","98.68","0.065","13.801","3.255","97.4","Q1","497","94.16"%,"7","7.4","468",
"MOLECULAR ECOLOGY","MOL ECOL","0962-1083","1365-294X","ECOLOGY - SCIE","45,664","6.622","Q1","1.3","27.64"%," 19/173 ","6.895","5.797","1.404"," 26/189 ","86.51","0.033","7.076","1.806","89.31","Q1","468","97.65"%,"9.2","8.5","457",
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","0169-5347","1872-8383","ECOLOGY - SCIE","44,895","20.589","Q1","1.8","22.69"%," 1/173 ","21.005","20","4.946"," 10/189 ","94.97","0.025","5.24","6.721","99.71","Q1","92","4.35"%,"12.9","6.1","4",
"MARINE ECOLOGY PROGRESS SERIES","MAR ECOL PROG SER","0171-8630","1616-1599","ECOLOGY - SCIE","44,604","2.915","Q3","0.89","9.33"%," 88/173 ","3.084","2.691","0.709"," 60/189 ","68.52","0.014","2.954","0.734","49.42","Q2","371","99.19"%,"14.6","11.1","368",
"BIOLOGICAL CONSERVATION","BIOL CONSERV","0006-3207","1873-2917","ECOLOGY - SCIE","44,069","7.497","Q1","1.42","15.18"%," 14/173 ","7.39","6.976","1.889"," 20/189 ","89.68","0.032","6.736","1.736","92.2","Q1","413","93.95"%,"9","7.4","388",
"ECOLOGY LETTERS","ECOL LETT","1461-023X","1461-0248","ECOLOGY - SCIE","42,643","11.274","Q1","2.27","28.62"%," 6/173 ","11.865","10.805","1.511"," 4/189 ","98.15","0.03","6.407","3.717","96.82","Q1","225","89.78"%,"10.4","9.3","202",
"ISME Journal","ISME J","1751-7362","1751-7370","ECOLOGY - SCIE","39,660","11.217","Q1","2.53","57.61"%," 7/173 ","13.214","10.729","2.22"," 2/189 ","99.21","0.042","9.068","3.323","96.24","Q1","296","98.31"%,"6.4","7.9","291",
"OECOLOGIA","OECOLOGIA","0029-8549","1432-1939","ECOLOGY - SCIE","37,755","3.298","Q2","0.78","20.47"%," 71/173 ","3.644","3.174","0.751"," 77/189 ","59.52","0.012","2.523","0.93","59.25","Q2","269","99.26"%,"17.1","11.2","267",
"ECOLOGICAL ECONOMICS","ECOL ECON","0921-8009","1873-6106","ECOLOGY - SCIE","36,096","6.536","Q1","1.58","18.2"%," 21/173 ","7.3","5.927","1.825"," 16/189 ","91.8","0.02","4.272","1.452","88.15","Q1","348","98.28"%,"10","7.7","342",
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","AGR ECOSYST ENVIRON","0167-8809","1873-2305","ECOLOGY - SCIE","35,091","6.576","Q1","1.7","11.8"%," 20/173 ","7.088","5.79","1.609"," 12/189 ","93.92","0.021","4.448","1.21","88.73","Q1","447","98.21"%,"7.8","8.1","439",
"EVOLUTION","EVOLUTION","0014-3820","1558-5646","ECOLOGY - SCIE","33,634","4.171","Q2","0.93","23"%," 58/173 ","3.901","3.888","0.873"," 54/189 ","71.69","0.013","2.811","1.336","66.76","Q1","213","99.53"%,"17.3","11.4","212",
"AMERICAN NATURALIST","AM NAT","0003-0147","1537-5323","ECOLOGY - SCIE","31,923","4.367","Q2","1.03","16.19"%," 49/173 ","4.342","4.192","1.222"," 44/189 ","76.98","0.011","2.398","1.538","71.97","Q1","144","100"%,"21.4","12.3","144",
"JOURNAL OF APPLIED ECOLOGY","J APPL ECOL","0021-8901","1365-2664","ECOLOGY - SCIE","28,723","6.865","Q1","1.52","31.58"%," 17/173 ","7.82","6.573","1.037"," 17/189 ","91.27","0.02","4.241","1.826","90.46","Q1","270","97.41"%,"9.9","7.6","263",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","ECOLOGY - SCIE","26,862","8.119","Q1","2.1","17.64"%," 11/173 ","9.408","7.62","2.395"," 6/189 ","97.09","0.015","3.261","1.598","93.93","Q1","205","93.17"%,"7.7","6.9","191",
"CONSERVATION BIOLOGY","CONSERV BIOL","0888-8892","1523-1739","ECOLOGY - SCIE","26,729","7.563","Q1","1.46","37.68"%," 12/173 ","7.771","7.162","1.6"," 19/189 ","90.21","0.014","2.945","2.003","93.35","Q1","160","88.13"%,"13.3","6.7","141",
"JOURNAL OF ECOLOGY","J ECOL","0022-0477","1365-2745","ECOLOGY - SCIE","26,651","6.381","Q1","1.6","21.02"%," 23/173 ","7.164","6.048","1.568"," 14/189 ","92.86","0.018","3.796","1.851","86.99","Q1","241","94.19"%,"10.4","9.6","227",
"ECOLOGICAL APPLICATIONS","ECOL APPL","1051-0761","1939-5582","ECOLOGY - SCIE","26,273","6.105","Q1","1.14","26.53"%," 25/173 ","6.131","5.901","1.623"," 34/189 ","82.28","0.013","2.76","1.502","85.84","Q1","236","99.58"%,"12.3","8.8","235",
