"Journal Data Filtered By:  Selected Categories: ECOLOGY Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","1354-1013","1365-2486","ECOLOGY - SCIE","67,135","11.6","Q1","2.44","29.99"%," 4/171 ","12.3","Q1","11","2.2",
"ECOLOGY","ECOLOGY","0012-9658","1939-9170","ECOLOGY - SCIE","63,530","4.8","Q1","1.3","17.99"%," 36/171 ","5.3","Q1","4.7","0.9",
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","0962-8452","1471-2954","ECOLOGY - SCIE","60,567","4.7","Q1","1.22","42.2"%," 39/171 ","5.2","Q1","4.5","1",
"MOLECULAR ECOLOGY","MOL ECOL","0962-1083","1365-294X","ECOLOGY - SCIE","40,823","4.9","Q1","1.24","27.74"%," 32/171 ","5.6","Q1","4.4","0.9",
"ISME Journal","ISME J","1751-7362","1751-7370","ECOLOGY - SCIE","40,061","11","Q1","2.59","64.18"%," 5/171 ","12.3","Q1","10.7","2.1",
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","0169-5347","1872-8383","ECOLOGY - SCIE","39,957","16.8","Q1","1.89","37.84"%," 1/171 ","18.1","Q1","16.3","5.1",
"BIOLOGICAL CONSERVATION","BIOL CONSERV","0006-3207","1873-2917","ECOLOGY - SCIE","39,641","5.9","Q1","1.43","30.35"%," 18/171 ","6.4","Q1","5.7","1",
"ECOLOGY LETTERS","ECOL LETT","1461-023X","1461-0248","ECOLOGY - SCIE","39,640","8.8","Q1","2.08","28.55"%," 8/171 ","9.8","Q1","8.5","1.7",
"MARINE ECOLOGY PROGRESS SERIES","MAR ECOL PROG SER","0171-8630","1616-1599","ECOLOGY - SCIE","38,161","2.5","Q3","0.83","21.98"%," 88/171 ","2.6","Q3","2.3","0.6",
"ECOLOGICAL ECONOMICS","ECOL ECON","0921-8009","1873-6106","ECOLOGY - SCIE","36,381","7","Q1","1.57","34.99"%," 11/171 ","7.5","Q1","6.6","1.7",
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","AGR ECOSYST ENVIRON","0167-8809","1873-2305","ECOLOGY - SCIE","33,665","6.6","Q1","1.71","22.94"%," 12/171 ","6.7","Q1","6","1.2",
"OECOLOGIA","OECOLOGIA","0029-8549","1432-1939","ECOLOGY - SCIE","33,109","2.7","Q2","0.77","25.76"%," 75/171 ","3","Q2","2.7","0.7",
"EVOLUTION","EVOLUTION","0014-3820","1558-5646","ECOLOGY - SCIE","29,350","3.3","Q2","0.94","25.2"%," 59/171 ","3.6","Q2","3","0.8",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","ECOLOGY - SCIE","28,597","9.1","Q1","2.28","36.39"%," 7/171 ","9.7","Q1","8.5","2.4",
"AMERICAN NATURALIST","AM NAT","0003-0147","1537-5323","ECOLOGY - SCIE","27,805","2.9","Q2","0.94","19.82"%," 67/171 ","3.5","Q2","2.8","1.2",
"JOURNAL OF APPLIED ECOLOGY","J APPL ECOL","0021-8901","1365-2664","ECOLOGY - SCIE","25,995","5.7","Q1","1.37","33.9"%," 20/171 ","6.5","Q1","5.5","0.9",
"JOURNAL OF ECOLOGY","J ECOL","0022-0477","1365-2745","ECOLOGY - SCIE","24,903","5.5","Q1","1.46","30.68"%," 22/171 ","6.3","Q1","5.2","1.1",
"Ecology and Evolution","ECOL EVOL","2045-7758","2045-7758","ECOLOGY - SCIE","24,504","2.6","Q2","0.69","66.46"%," 85/171 ","3","Q2","2.5","0.4",
"Biogeosciences","BIOGEOSCIENCES","1726-4170","1726-4189","ECOLOGY - SCIE","24,290","4.9","Q1","1.21","99.18"%," 32/171 ","4.8","Q1","4.5","0.9",
"Methods in Ecology and Evolution","METHODS ECOL EVOL","2041-210X","2041-2096","ECOLOGY - SCIE","23,860","6.6","Q1","1.76","41.79"%," 12/171 ","9.2","Q1","6.4","1.1",
"CONSERVATION BIOLOGY","CONSERV BIOL","0888-8892","1523-1739","ECOLOGY - SCIE","23,293","6.3","Q1","1.45","36.25"%," 15/171 ","6.5","Q1","6.1","1.1",
"ECOLOGICAL ENGINEERING","ECOL ENG","0925-8574","1872-6992","ECOLOGY - SCIE","23,129","3.8","Q2","0.71","15.72"%," 48/171 ","4.3","Q1","3.6","1.1",
"ECOLOGICAL APPLICATIONS","ECOL APPL","1051-0761","1939-5582","ECOLOGY - SCIE","22,932","5","Q1","1.13","25.15"%," 31/171 ","5.2","Q1","4.9","1.1",
"OIKOS","OIKOS","0030-1299","1600-0706","ECOLOGY - SCIE","22,788","3.4","Q2","0.96","25.26"%," 55/171 ","3.6","Q2","3.2","0.7",
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","1543-592X","1545-2069","ECOLOGY - SCIE","21,855","11.8","Q1","1.24","0"%," 3/171 ","18.6","Q1","11.6","0.6",
"ECOLOGICAL MODELLING","ECOL MODEL","0304-3800","1872-7026","ECOLOGY - SCIE","21,705","3.1","Q2","0.83","28.7"%," 65/171 ","3.1","Q2","2.9","0.5",
"FUNCTIONAL ECOLOGY","FUNCT ECOL","0269-8463","1365-2435","ECOLOGY - SCIE","21,258","5.2","Q1","1.31","24.42"%," 25/171 ","6","Q1","5.1","0.8",
"JOURNAL OF ANIMAL ECOLOGY","J ANIM ECOL","0021-8790","1365-2656","ECOLOGY - SCIE","19,200","4.8","Q1","1.84","26.64"%," 36/171 ","5","Q1","4.6","0.6",
"JOURNAL OF BIOGEOGRAPHY","J BIOGEOGR","0305-0270","1365-2699","ECOLOGY - SCIE","17,967","3.9","Q2","1.08","21.31"%," 46/171 ","4.1","Q2","3.7","0.6",
"GLOBAL ECOLOGY AND BIOGEOGRAPHY","GLOBAL ECOL BIOGEOGR","1466-822X","1466-8238","ECOLOGY - SCIE","17,660","6.4","Q1","1.59","22.78"%," 14/171 ","7.4","Q1","6.2","1.7",
"ECOGRAPHY","ECOGRAPHY","0906-7590","1600-0587","ECOLOGY - SCIE","17,205","5.9","Q1","1.48","80.92"%," 18/171 ","7.2","Q1","5.7","0.8",
"Nature Ecology & Evolution","NAT ECOL EVOL","2397-334X","2397-334X","ECOLOGY - SCIE","16,845","16.8","Q1","3.93","11.18"%," 1/171 ","16.9","Q1","16.4","3.2",
"FRESHWATER BIOLOGY","FRESHWATER BIOL","0046-5070","1365-2427","ECOLOGY - SCIE","14,924","2.7","Q2","0.84","20.42"%," 75/171 ","3.3","Q2","2.6","0.5",
"JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","J EXP MAR BIOL ECOL","0022-0981","1879-1697","ECOLOGY - SCIE","14,885","2","Q3","0.68","23.94"%," 103/171 ","2.4","Q3","2","0.4",
"Molecular Ecology Resources","MOL ECOL RESOUR","1755-098X","1755-0998","ECOLOGY - SCIE","14,786","7.7","Q1","1.62","27.52"%," 9/171 ","8","Q1","7.3","1",
"ECOLOGY AND SOCIETY","ECOL SOC","1708-3087","N/A","ECOLOGY - SCIE","14,451","4.1","Q2","0.93","98.52"%," 43/171 ","5.4","Q1","3.9","0.8",
"BIODIVERSITY AND CONSERVATION","BIODIVERS CONSERV","0960-3115","1572-9710","ECOLOGY - SCIE","14,293","3.4","Q2","0.75","31.16"%," 55/171 ","3.7","Q2","3.2","0.7",
"MICROBIAL ECOLOGY","MICROB ECOL","0095-3628","1432-184X","ECOLOGY - SCIE","14,049","3.6","Q2","1.03","17.66"%," 52/171 ","4.2","Q2","3.5","0.7",
"LANDSCAPE ECOLOGY","LANDSCAPE ECOL","0921-2973","1572-9761","ECOLOGY - SCIE","13,530","5.2","Q1","1.18","29.84"%," 25/171 ","5.3","Q1","4.8","0.7",
"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","FRONT ECOL ENVIRON","1540-9295","1540-9309","ECOLOGY - SCIE","13,393","10.3","Q1","1.84","47.67"%," 6/171 ","12.2","Q1","10.2","2.6",
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","BEHAV ECOL SOCIOBIOL","0340-5443","1432-0762","ECOLOGY - SCIE","12,497","2.3","Q3","0.94","33.98"%," 92/171 ","2.7","Q2","2.1","0.7",
"Ecosphere","ECOSPHERE","2150-8925","2150-8925","ECOLOGY - SCIE","12,408","2.7","Q2","0.8","65.96"%," 75/171 ","3.4","Q2","2.6","0.6",
"ECOLOGICAL MONOGRAPHS","ECOL MONOGR","0012-9615","1557-7015","ECOLOGY - SCIE","12,404","6.1","Q1","2.01","28.78"%," 16/171 ","8.7","Q1","6.1","1",
"Biology Letters","BIOL LETTERS","1744-9561","1744-957X","ECOLOGY - SCIE","12,046","3.3","Q2","0.86","34.64"%," 59/171 ","3.7","Q2","3.2","0.8",
"BIOLOGICAL INVASIONS","BIOL INVASIONS","1387-3547","1573-1464","ECOLOGY - SCIE","11,722","2.9","Q2","0.74","26.22"%," 67/171 ","3.1","Q2","2.7","0.7",
"JOURNAL OF WILDLIFE MANAGEMENT","J WILDLIFE MANAGE","0022-541X","1937-2817","ECOLOGY - SCIE","11,668","2.3","Q3","0.92","20.09"%," 92/171 ","2.5","Q3","2","0.5",
"DIVERSITY AND DISTRIBUTIONS","DIVERS DISTRIB","1366-9516","1472-4642","ECOLOGY - SCIE","11,496","4.6","Q1","1.29","75.42"%," 40/171 ","5","Q1","4.4","1.1",
"ECOSYSTEMS","ECOSYSTEMS","1432-9840","1435-0629","ECOLOGY - SCIE","11,304","3.7","Q2","1","27.75"%," 51/171 ","4.2","Q2","3.6","0.8",
"Ecosystem Services","ECOSYST SERV","2212-0416","2212-0416","ECOLOGY - SCIE","11,024","7.6","Q1","1.38","37.24"%," 10/171 ","8.6","Q1","7","1.6",
"JOURNAL OF CHEMICAL ECOLOGY","J CHEM ECOL","0098-0331","1573-1561","ECOLOGY - SCIE","10,826","2.3","Q3","0.57","24.53"%," 92/171 ","2.6","Q3","2.2","0.7",
"Journal of Arid Environments","J ARID ENVIRON","0140-1963","1095-922X","ECOLOGY - SCIE","10,784","2.7","Q2","0.65","13.84"%," 75/171 ","2.7","Q2","2.6","0.8",
"BEHAVIORAL ECOLOGY","BEHAV ECOL","1045-2249","1465-7279","ECOLOGY - SCIE","10,247","2.4","Q3","0.91","17.62"%," 90/171 ","2.6","Q3","2.2","1.3",
"Frontiers in Ecology and Evolution","FRONT ECOL EVOL","2296-701X","2296-701X","ECOLOGY - SCIE","10,203","3","Q2","0.73","99.34"%," 66/171 ","3.8","Q2","2.8","0.6",
"HEREDITY","HEREDITY","0018-067X","1365-2540","ECOLOGY - SCIE","10,093","3.8","Q2","0.86","37.58"%," 48/171 ","3.7","Q2","3.7","1.3",
"JOURNAL OF EVOLUTIONARY BIOLOGY","J EVOLUTION BIOL","1010-061X","1420-9101","ECOLOGY - SCIE","9,931","2.1","Q3","0.58","30.67"%," 100/171 ","2.3","Q3","2","0.5",
"JOURNAL OF VEGETATION SCIENCE","J VEG SCI","1100-9233","1654-1103","ECOLOGY - SCIE","9,139","2.8","Q2","0.89","18.67"%," 72/171 ","2.9","Q2","2.7","0.3",
"Global Ecology and Conservation","GLOB ECOL CONSERV","N/A","2351-9894","ECOLOGY - SCIE","8,634","4","Q2","0.97","96.49"%," 45/171 ","4.3","Q1","3.8","1.2",
"RESTORATION ECOLOGY","RESTOR ECOL","1061-2971","1526-100X","ECOLOGY - SCIE","7,917","3.2","Q2","0.84","19.19"%," 62/171 ","3.6","Q2","2.7","0.6",
"POLAR BIOLOGY","POLAR BIOL","0722-4060","1432-2056","ECOLOGY - SCIE","7,187","1.7","Q3","0.5","28.34"%," 120/171 ","2","Q3","1.5","0.4",
"ECOTOXICOLOGY","ECOTOXICOLOGY","0963-9292","1573-3017","ECOLOGY - SCIE","7,173","2.7","Q2","0.63","9.38"%," 75/171 ","2.9","Q2","2.6","0.7",
"BIOTROPICA","BIOTROPICA","0006-3606","1744-7429","ECOLOGY - SCIE","7,075","2.1","Q3","0.57","12.68"%," 100/171 ","2.4","Q3","1.9","0.4",
"PLANT ECOLOGY","PLANT ECOL","1385-0237","1573-5052","ECOLOGY - SCIE","6,319","1.7","Q3","0.52","14.58"%," 120/171 ","2","Q3","1.7","0.6",
"ENVIRONMENTAL BIOLOGY OF FISHES","ENVIRON BIOL FISH","0378-1909","1573-5133","ECOLOGY - SCIE","6,117","1.4","Q4","0.49","12.76"%," 133/171 ","1.6","Q4","1.2","0.7",
"JOURNAL OF SOIL AND WATER CONSERVATION","J SOIL WATER CONSERV","0022-4561","1941-3300","ECOLOGY - SCIE","5,588","3.9","Q2","0.56","1.52"%," 46/171 ","4","Q2","3.8","1",
"Ecological Informatics","ECOL INFORM","1574-9541","1878-0512","ECOLOGY - SCIE","5,486","5.1","Q1","1.36","16.47"%," 27/171 ","4.9","Q1","4.5","1.3",
"WETLANDS","WETLANDS","0277-5212","1943-6246","ECOLOGY - SCIE","5,452","2","Q3","0.44","12.79"%," 103/171 ","2.2","Q3","1.8","0.4",
"Diversity-Basel","DIVERSITY-BASEL","N/A","1424-2818","ECOLOGY - SCIE","5,249","2.4","Q3","0.63","99.69"%," 90/171 ","2.5","Q3","2.1","0.6",
"BIOCHEMICAL SYSTEMATICS AND ECOLOGY","BIOCHEM SYST ECOL","0305-1978","1873-2925","ECOLOGY - SCIE","4,955","1.6","Q3","0.34","4.45"%," 125/171 ","1.5","Q4","1.4","0.4",
"AUSTRAL ECOLOGY","AUSTRAL ECOL","1442-9985","1442-9993","ECOLOGY - SCIE","4,680","1.5","Q4","0.42","11.08"%," 131/171 ","1.7","Q4","1.4","0.6",
"EUROPEAN JOURNAL OF SOIL BIOLOGY","EUR J SOIL BIOL","1164-5563","1778-3615","ECOLOGY - SCIE","4,623","4.2","Q1","0.93","11.05"%," 42/171 ","3.9","Q2","4.2","0.6",
"URBAN ECOSYSTEMS","URBAN ECOSYST","1083-8155","1573-1642","ECOLOGY - SCIE","4,585","2.9","Q2","0.69","22.33"%," 67/171 ","3.4","Q2","2.7","0.8",
"Current Opinion in Insect Science","CURR OPIN INSECT SCI","2214-5745","2214-5753","ECOLOGY - SCIE","4,512","5.3","Q1","1.37","38.87"%," 24/171 ","6","Q1","5.2","1.6",
"ORYX","ORYX","0030-6053","1365-3008","ECOLOGY - SCIE","4,444","2.7","Q2","0.79","73.09"%," 75/171 ","2.8","Q2","2.5","1.1",
"ECOLOGICAL RESEARCH","ECOL RES","0912-3814","1440-1703","ECOLOGY - SCIE","4,417","2","Q3","0.52","22.38"%," 103/171 ","2.1","Q3","1.9","0.5",
"BASIC AND APPLIED ECOLOGY","BASIC APPL ECOL","1439-1791","1618-0089","ECOLOGY - SCIE","4,326","3.8","Q2","0.99","51.06"%," 48/171 ","4","Q2","3.6","0.8",
"ANIMAL CONSERVATION","ANIM CONSERV","1367-9430","1469-1795","ECOLOGY - SCIE","4,162","3.4","Q2","0.83","19.77"%," 55/171 ","3.4","Q2","3.2","0.6",
