"Journal Data Filtered By:  Selected Categories: ECOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","WILEY","1354-1013","1365-2486","ECOLOGY","SCIE","76,283","12.1","Q1","2.7","46.92"%," 3/200 ","14","Q1","11.5","2.3",
"ECOLOGY","ECOLOGY","WILEY","0012-9658","1939-9170","ECOLOGY","SCIE","58,795","4.3","Q1","1.2","39.59"%," 32/200 ","5.2","Q1","4.2","0.7",
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","ROYAL SOC","0962-8452","1471-2954","ECOLOGY","SCIE","56,624","3.5","Q1","1.07","54.87"%," 50/200 ","4.4","Q1","3.4","0.8",
"ISME Journal","ISME J","OXFORD UNIV PRESS","1751-7362","1751-7370","ECOLOGY","SCIE","41,718","10","Q1","2.89","83.82"%," 5/200 ","12.5","Q1","9.5","1.6",
"BIOLOGICAL CONSERVATION","BIOL CONSERV","ELSEVIER SCI LTD","0006-3207","1873-2917","ECOLOGY","SCIE","40,359","4.4","Q1","1.18","46.11"%," 29/200 ","6","Q1","4.2","0.9",
"ECOLOGY LETTERS","ECOL LETT","WILEY","1461-023X","1461-0248","ECOLOGY","SCIE","39,999","7.9","Q1","2.01","49.26"%," 7/200 ","9.4","Q1","7.5","1.4",
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","CELL PRESS","0169-5347","1872-8383","ECOLOGY","SCIE","39,765","17.3","Q1","2.13","28.05"%," 1/200 ","18.7","Q1","16.9","4.4",
"MOLECULAR ECOLOGY","MOL ECOL","WILEY","0962-1083","1365-294X","ECOLOGY","SCIE","37,985","3.9","Q1","1.07","47.68"%," 38/200 ","4.8","Q1","3.6","0.7",
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","AGR ECOSYST ENVIRON","ELSEVIER","0167-8809","1873-2305","ECOLOGY","SCIE","35,680","6.4","Q1","1.67","27.11"%," 14/200 ","6.8","Q1","5.8","1.2",
"ECOLOGICAL ECONOMICS","ECOL ECON","ELSEVIER","0921-8009","1873-6106","ECOLOGY","SCIE","35,499","6.3","Q1","1.57","45.45"%," 15/200 ","7.3","Q1","6","1.3",
"MARINE ECOLOGY PROGRESS SERIES","MAR ECOL PROG SER","INTER-RESEARCH","0171-8630","1616-1599","ECOLOGY","SCIE","35,104","2.1","Q3","0.72","37.75"%," 106/200 ","2.5","Q2","2","1",
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","ELSEVIER","0169-2046","1872-6062","ECOLOGY","SCIE","32,710","9.2","Q1","2.4","40.92"%," 6/200 ","10.4","Q1","8.7","1.5",
