"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'OCEANOGRAPHY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,Annual Review of Marine Science,ANNU REV MAR SCI,1941-1405,"3,870",15.225,15.000,15.792,5.000,20,6.3,10.5,0.008370,5.978,0.00,98.998,0.99437
2,Oceanography and Marine Biology,OCEANOGR MAR BIOL,0078-3218,"2,485",6.286,6.286,7.742,Not Available,0,17.3,Not Available,0.001030,2.529,Not Available,98.169,0.12301
3,LIMNOLOGY AND OCEANOGRAPHY,LIMNOL OCEANOGR,0024-3590,"29,814",4.325,4.061,4.402,1.193,218,16.2,11.5,0.017180,1.455,99.08,96.916,2.04092
4,OCEANOGRAPHY,OCEANOGRAPHY,1042-8275,"3,813",3.913,3.722,4.455,1.059,85,7.9,7.8,0.007790,1.916,100.00,94.697,0.92598
5,JOURNAL OF PHYSICAL OCEANOGRAPHY,J PHYS OCEANOGR,0022-3670,"14,963",3.389,2.653,3.472,0.759,162,14.8,11.6,0.017120,1.437,100.00,93.182,2.03432
6,ICES JOURNAL OF MARINE SCIENCE,ICES J MAR SCI,1054-3139,"11,167",3.367,3.025,3.402,1.173,214,8.9,9.6,0.015140,1.037,96.26,91.097,1.79915
7,MARINE GEOLOGY,MAR GEOL,0025-3227,"14,074",3.349,2.849,3.828,0.880,175,13.7,11.9,0.011600,1.153,98.29,83.979,1.37872
8,PROGRESS IN OCEANOGRAPHY,PROG OCEANOGR,0079-6611,"8,689",3.245,2.946,4.372,1.206,160,9.5,11.2,0.012970,1.586,95.00,88.636,1.54048
9,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,J GEOPHYS RES-OCEANS,2169-9275,"35,566",3.235,2.513,3.567,0.718,514,12.1,10.1,0.042980,1.298,99.81,87.121,5.10475
10,OCEAN MODELLING,OCEAN MODEL,1463-5003,"4,140",3.095,2.733,3.503,0.744,90,6.8,10.1,0.009170,1.380,95.56,76.815,1.08929
11,PALEOCEANOGRAPHY,PALEOCEANOGRAPHY,0883-8305,"7,947",3.087,3.087,3.675,Not Available,0,13.1,Not Available,0.009770,1.809,Not Available,85.816,1.16124
12,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,DEEP-SEA RES PT I,0967-0637,"8,441",2.848,2.624,3.052,0.443,122,11.4,11.8,0.009560,1.049,100.00,82.576,1.13615
13,OCEAN ENGINEERING,OCEAN ENG,0029-8018,"13,034",2.730,2.042,3.067,0.565,911,4.8,9.1,0.017480,0.567,97.48,83.753,2.07712
14,MARINE CHEMISTRY,MAR CHEM,0304-4203,"9,822",2.713,2.471,3.779,1.000,110,13.6,11.7,0.008290,1.205,98.18,68.406,0.98477
15,FISHERIES OCEANOGRAPHY,FISH OCEANOGR,1054-6006,"2,297",2.660,2.515,2.635,0.688,48,11.8,11.5,0.002290,0.794,100.00,77.957,0.27277
16,ESTUARINE COASTAL AND SHELF SCIENCE,ESTUAR COAST SHELF S,0272-7714,"17,636",2.611,2.335,2.975,0.736,387,10.1,11.1,0.015580,0.756,97.67,78.304,1.85098
17,OCEAN & COASTAL MANAGEMENT,OCEAN COAST MANAGE,0964-5691,"6,607",2.595,2.140,3.043,0.685,327,5.3,8.4,0.009540,0.619,95.72,74.038,1.13338
18,IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,0364-9059,"4,355",2.567,2.367,3.033,1.308,91,12.0,10.3,0.003390,0.660,98.90,70.720,0.40314
19,JOURNAL OF MARINE SYSTEMS,J MARINE SYST,0924-7963,"6,828",2.539,2.407,2.838,0.806,124,9.4,11.7,0.008600,0.880,100.00,70.563,1.02172
19,Ocean Science,OCEAN SCI,1812-0784,"2,002",2.539,2.299,3.129,0.337,92,5.4,9.9,0.005670,1.206,100.00,66.508,0.67350
21,APPLIED OCEAN RESEARCH,APPL OCEAN RES,0141-1187,"3,556",2.436,2.162,2.695,0.500,186,6.3,9.6,0.004800,0.606,99.46,71.970,0.57077
22,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,DEEP-SEA RES PT II,0967-0645,"11,237",2.430,2.336,2.958,1.379,182,10.2,11.4,0.012830,0.951,98.90,67.424,1.52423
23,MARINE ECOLOGY PROGRESS SERIES,MAR ECOL PROG SER,0171-8630,"39,386",2.359,2.122,2.715,0.657,405,13.1,11.1,0.024460,0.809,98.52,63.779,2.90551
24,JOURNAL OF PLANKTON RESEARCH,J PLANKTON RES,0142-7873,"7,047",2.209,2.126,2.590,0.585,53,13.6,12.8,0.005680,0.795,96.23,66.225,0.67470
25,CONTINENTAL SHELF RESEARCH,CONT SHELF RES,0278-4343,"9,948",2.134,2.003,2.494,0.367,139,10.3,11.5,0.010450,0.758,100.00,62.879,1.24124
26,LIMNOLOGY AND OCEANOGRAPHY-METHODS,LIMNOL OCEANOGR-METH,1541-5856,"2,881",2.094,1.946,2.591,0.456,68,8.4,11.2,0.003950,0.907,98.53,67.587,0.46974
27,JOURNAL OF OCEANOGRAPHY,J OCEANOGR,0916-8370,"2,616",2.085,1.924,1.793,0.349,43,12.1,13.3,0.001990,0.556,97.67,59.848,0.23661
28,TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,TELLUS A,1600-0870,"2,928",2.000,1.946,2.260,0.571,28,10.6,10.9,0.003860,1.057,100.00,52.132,0.45940
29,OCEANOLOGIA,OCEANOLOGIA,0078-3234,"1,021",1.988,1.671,2.112,0.489,45,6.8,12.0,0.001310,0.466,100.00,56.818,0.15661
30,GEO-MARINE LETTERS,GEO-MAR LETT,0276-0460,"1,806",1.940,1.869,1.934,0.462,39,12.1,13.2,0.001510,0.580,97.44,50.738,0.18034
31,OCEAN DYNAMICS,OCEAN DYNAM,1616-7341,"2,643",1.869,1.583,2.079,0.303,109,7.2,11.7,0.004860,0.731,100.00,53.788,0.57840
