Journal Data Filtered By: Selected Categories: SI Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
MARINE ECOLOGY PROGRESS SERIES,0171-8630,1616-1599,"OCEANOGRAPHY - SCIE","44,961",2.824,"Q2",0.96,1.98%,3.090,2.624,0.708,0.01788,3.74786,0.830,67.205,364,11.8,14.2,98.38%,370,
JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,2169-9275,2169-9291,"OCEANOGRAPHY - SCIE","41,932",3.405,"Q1",1.40,21.98%,3.820,2.772,0.660,0.03196,6.69699,1.217,79.231,505,10.3,12.3,99.21%,509,
LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1939-5590,"OCEANOGRAPHY - SCIE","33,931",4.745,"Q1",1.67,43.80%,5.203,4.348,1.402,0.01434,3.00469,1.436,91.355,337,10.5,16.7,99.70%,338,
OCEAN ENGINEERING,0029-8018,1873-5258,"OCEANOGRAPHY - SCIE","23,463",3.795,"Q1",1.33,3.36%,3.985,2.808,0.835,0.02470,5.17643,0.672,88.952,1191,8.2,4.5,98.27%,1212,
ESTUARINE COASTAL AND SHELF SCIENCE,0272-7714,1096-0015,"OCEANOGRAPHY - SCIE","21,484",2.929,"Q2",1.08,5.57%,3.329,2.611,0.697,0.01317,2.76014,0.702,75.682,419,11.2,10.4,99.05%,423,
JOURNAL OF PHYSICAL OCEANOGRAPHY,0022-3670,1520-0485,"OCEANOGRAPHY - SCIE","17,155",3.373,"Q1",1.37,3.16%,3.676,2.661,0.831,0.01188,2.48972,1.307,77.692,177,12.5,15.2,100.00%,177,
MARINE GEOLOGY,0025-3227,1872-6151,"OCEANOGRAPHY - SCIE","16,994",3.548,"Q1",1.19,9.45%,4.035,3.118,0.877,0.00799,1.67560,1.009,75.215,220,12.3,14.4,100.00%,220,
ICES JOURNAL OF MARINE SCIENCE,1054-3139,1095-9289,"OCEANOGRAPHY - SCIE","13,985",3.593,"Q1",1.31,13.09%,4.037,3.229,1.515,0.01264,2.64835,1.068,86.096,247,9.2,9.1,95.00%,260,
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,0967-0645,1879-0100,"OCEANOGRAPHY - SCIE","13,313",2.732,"Q2",1.38,9.80%,3.419,2.536,1.245,0.00954,2.00033,0.991,65.385,162,12.1,11.3,99.39%,163,
CONTINENTAL SHELF RESEARCH,0278-4343,1873-6955,"OCEANOGRAPHY - SCIE","11,676",2.391,"Q2",0.98,5.11%,2.879,2.277,0.525,0.00641,1.34356,0.724,51.538,122,12.3,11.3,100.00%,122,
MARINE CHEMISTRY,0304-4203,1872-7581,"OCEANOGRAPHY - SCIE","11,297",3.807,"Q1",0.99,5.02%,4.186,3.484,0.793,0.00635,1.33186,1.163,76.076,87,12.0,14.5,100.00%,87,
PROGRESS IN OCEANOGRAPHY,0079-6611,1873-4472,"OCEANOGRAPHY - SCIE","10,811",4.080,"Q1",1.57,14.84%,5.131,3.702,1.019,0.01183,2.47885,1.616,93.077,153,11.5,9.4,98.08%,156,
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,0967-0637,1879-0119,"OCEANOGRAPHY - SCIE","9,663",2.955,"Q2",1.18,10.80%,3.448,2.791,0.724,0.00721,1.51153,1.033,71.538,144,12.6,11.9,99.31%,145,
OCEAN & COASTAL MANAGEMENT,0964-5691,1873-524X,"OCEANOGRAPHY - SCIE","9,472",3.284,"Q1",1.07,4.69%,3.663,3.017,0.957,0.01011,2.11858,0.743,72.516,264,8.1,5.6,95.65%,276,
JOURNAL OF MARINE SYSTEMS,0924-7963,1879-1573,"OCEANOGRAPHY - SCIE","7,796",2.542,"Q2",0.99,5.45%,3.136,2.421,0.871,0.00524,1.09900,0.845,58.513,115,12.6,10.7,99.14%,116,
JOURNAL OF PLANKTON RESEARCH,0142-7873,1464-3774,"OCEANOGRAPHY - SCIE","7,583",2.455,"Q2",0.88,11.54%,2.766,2.358,0.407,0.00322,0.67529,0.749,61.171,58,13.0,15.2,98.31%,59,
MARINE AND FRESHWATER RESEARCH,1323-1650,1448-6059,"OCEANOGRAPHY - SCIE","6,512",2.070,"Q3",0.77,9.42%,2.162,1.904,0.882,0.00462,0.96894,0.519,54.977,208,11.3,9.7,91.23%,228,
APPLIED OCEAN RESEARCH,0141-1187,1879-1549,"OCEANOGRAPHY - SCIE","5,888",2.979,"Q2",1.16,4.09%,3.380,2.592,0.854,0.00662,1.38868,0.714,69.351,354,8.5,5.0,99.44%,356,
BULLETIN OF MARINE SCIENCE,0007-4977,1553-6955,"OCEANOGRAPHY - SCIE","5,728",1.632,"Q3",0.70,32.94%,1.889,1.608,0.978,0.00129,0.27186,0.519,37.220,45,12.5,21.8,100.00%,45,
