"Journal Data Filtered By:  Selected Categories: OCEANOGRAPHY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS","J GEOPHYS RES-OCEANS","2169-9275","2169-9291","OCEANOGRAPHY - SCIE","47,521","3.938","Q1","1.27","26.74"%," 12/66 ","4.33","3.375","0.908"," 9/68 ","87.5","0.03","6.411","1.225","82.58","Q1","524","100"%,"12.3","10.4","524",
"MARINE ECOLOGY PROGRESS SERIES","MAR ECOL PROG SER","0171-8630","1616-1599","OCEANOGRAPHY - SCIE","44,604","2.915","Q2","0.89","9.33"%," 23/66 ","3.084","2.691","0.709"," 25/68 ","63.97","0.014","2.954","0.734","65.91","Q2","371","99.19"%,"14.6","11.1","368",
"LIMNOLOGY AND OCEANOGRAPHY","LIMNOL OCEANOGR","0024-3590","1939-5590","OCEANOGRAPHY - SCIE","34,985","5.019","Q1","1.47","49.24"%," 4/66 ","5.438","4.681","0.803"," 5/68 ","93.38","0.014","3.028","1.316","94.7","Q1","264","97.35"%,"16.6","10.1","257",
"OCEAN ENGINEERING","OCEAN ENG","0029-8018","1873-5258","OCEANOGRAPHY - SCIE","31,451","4.372","Q1","1.32","5.03"%," 6/66 ","4.5","3.189","0.874"," 6/68 ","91.91","0.028","5.957","0.69","91.67","Q2","1,650","98.55"%,"4.1","7.9","1,626",
"ESTUARINE COASTAL AND SHELF SCIENCE","ESTUAR COAST SHELF S","0272-7714","1096-0015","OCEANOGRAPHY - SCIE","23,257","3.229","Q2","1.05","8.53"%," 19/66 ","3.614","2.913","0.87"," 17/68 ","75.74","0.013","2.698","0.705","71.97","Q2","415","99.28"%,"10.1","11.4","412",
"JOURNAL OF PHYSICAL OCEANOGRAPHY","J PHYS OCEANOGR","0022-3670","1520-0485","OCEANOGRAPHY - SCIE","19,740","3.806","Q1","1.28","6.14"%," 15/66 ","4.327","2.855","0.923"," 7/68 ","90.44","0.011","2.337","1.299","78.03","Q1","208","99.04"%,"14.8","11.9","206",
"MARINE GEOLOGY","MAR GEOL","0025-3227","1872-6151","OCEANOGRAPHY - SCIE","17,454","3.627","Q2","1.1","12.25"%," 17/66 ","3.927","3.08","0.69"," 15/68 ","78.68","0.008","1.645","0.94","75","Q1","229","99.13"%,"14.6","12.9","227",
"ICES JOURNAL OF MARINE SCIENCE","ICES J MAR SCI","1054-3139","1095-9289","OCEANOGRAPHY - SCIE","15,480","3.906","Q1","1.22","24.03"%," 13/66 ","4.198","3.386","1.11"," 10/68 ","86.03","0.011","2.258","0.966","81.06","Q1","308","95.13"%,"8.9","9.4","293",
"DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY","DEEP-SEA RES PT II","0967-0645","1879-0100","OCEANOGRAPHY - SCIE","13,256","2.887","Q2","1.14","11.2"%," 24/66 ","3.111","2.857","0.483"," 13/68 ","81.62","0.007","1.463","0.806","64.39","Q2","29","100"%,"12.3","12.3","29",
"PROGRESS IN OCEANOGRAPHY","PROG OCEANOGR","0079-6611","1873-4472","OCEANOGRAPHY - SCIE","12,931","4.416","Q1","1.51","21.11"%," 5/66 ","5.206","4.148","1.051"," 4/68 ","94.85","0.009","1.829","1.332","93.18","Q1","156","8.33"%,"9.8","11.5","13",
