"Journal Data Filtered By:  Selected Categories: OCEANOGRAPHY Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS","J GEOPHYS RES-OCEANS","2169-9275","2169-9291","OCEANOGRAPHY - SCIE","45,992","3.6","Q1","1.19","27.5"%," 9/63 ","4.1","Q1","3.1","0.7",
"Ocean Engineering","OCEAN ENG","0029-8018","1873-5258","OCEANOGRAPHY - SCIE","43,807","5","Q1","1.37","9.48"%," 3/63 ","5.2","Q1","3.3","1",
"MARINE ECOLOGY PROGRESS SERIES","MAR ECOL PROG SER","0171-8630","1616-1599","OCEANOGRAPHY - SCIE","38,161","2.5","Q2","0.83","21.98"%," 27/63 ","2.6","Q2","2.3","0.6",
"LIMNOLOGY AND OCEANOGRAPHY","LIMNOL OCEANOGR","0024-3590","1939-5590","OCEANOGRAPHY - SCIE","31,305","4.5","Q1","1.4","44.78"%," 5/63 ","4.7","Q1","4.2","0.9",
"ESTUARINE COASTAL AND SHELF SCIENCE","ESTUAR COAST SHELF S","0272-7714","1096-0015","OCEANOGRAPHY - SCIE","21,282","2.8","Q2","0.98","23.32"%," 22/63 ","3","Q2","2.6","0.7",
"JOURNAL OF PHYSICAL OCEANOGRAPHY","J PHYS OCEANOGR","0022-3670","1520-0485","OCEANOGRAPHY - SCIE","19,170","3.5","Q1","1.18","3.95"%," 11/63 ","3.8","Q1","2.8","0.8",
"MARINE GEOLOGY","MAR GEOL","0025-3227","1872-6151","OCEANOGRAPHY - SCIE","15,381","2.9","Q2","0.96","22.99"%," 19/63 ","3.4","Q2","2.7","0.6",
"ICES JOURNAL OF MARINE SCIENCE","ICES J MAR SCI","1054-3139","1095-9289","OCEANOGRAPHY - SCIE","13,924","3.3","Q1","1.17","31.83"%," 13/63 ","3.5","Q1","2.9","1",
"OCEAN & COASTAL MANAGEMENT","OCEAN COAST MANAGE","0964-5691","1873-524X","OCEANOGRAPHY - SCIE","13,044","4.6","Q1","1.37","17.46"%," 4/63 ","4.3","Q1","3.9","1.5",
"PROGRESS IN OCEANOGRAPHY","PROG OCEANOGR","0079-6611","1873-4472","OCEANOGRAPHY - SCIE","12,049","4.1","Q1","1.21","41.1"%," 7/63 ","4.4","Q1","3.9","0.8",
