"Journal Data Filtered By:  Selected Categories: OCEANOGRAPHY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"Ocean Engineering","OCEAN ENG","PERGAMON-ELSEVIER SCIENCE LTD","0029-8018","1873-5258","OCEANOGRAPHY","SCIE","75,880","5.5","Q1","1.37","10.76"%," 2/65 ","5.6","Q1","4","1.5",
"JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS","J GEOPHYS RES-OCEANS","AMER GEOPHYSICAL UNION","2169-9275","2169-9291","OCEANOGRAPHY","SCIE","43,778","3.4","Q1","1.05","40.68"%," 9/65 ","4","Q1","2.8","0.5",
"MARINE ECOLOGY PROGRESS SERIES","MAR ECOL PROG SER","INTER-RESEARCH","0171-8630","1616-1599","OCEANOGRAPHY","SCIE","35,104","2.1","Q2","0.72","37.75"%," 32/65 ","2.5","Q2","2","1",
"LIMNOLOGY AND OCEANOGRAPHY","LIMNOL OCEANOGR","WILEY","0024-3590","1939-5590","OCEANOGRAPHY","SCIE","28,082","3.7","Q1","1.22","60.84"%," 7/65 ","4.5","Q1","3.5","0.6",
"Journal of Marine Science and Engineering","J MAR SCI ENG","MDPI","N/A","2077-1312","OCEANOGRAPHY","SCIE","23,243","2.8","Q2","0.78","100"%," 18/65 ","2.8","Q2","2.3","0.8",
"ESTUARINE COASTAL AND SHELF SCIENCE","ESTUAR COAST SHELF S","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0272-7714","1096-0015","OCEANOGRAPHY","SCIE","20,524","2.6","Q2","0.9","29.98"%," 21/65 ","2.9","Q2","2.4","0.6",
"JOURNAL OF PHYSICAL OCEANOGRAPHY","J PHYS OCEANOGR","AMER METEOROLOGICAL SOC","0022-3670","1520-0485","OCEANOGRAPHY","SCIE","17,951","3","Q1","0.97","4.33"%," 14/65 ","3.3","Q1","2.5","0.9",
"OCEAN & COASTAL MANAGEMENT","OCEAN COAST MANAGE","ELSEVIER SCI LTD","0964-5691","1873-524X","OCEANOGRAPHY","SCIE","15,661","5.4","Q1","1.44","22.54"%," 3/65 ","4.8","Q1","4.6","1.3",
"ICES JOURNAL OF MARINE SCIENCE","ICES J MAR SCI","OXFORD UNIV PRESS","1054-3139","1095-9289","OCEANOGRAPHY","SCIE","14,279","3.4","Q1","1.13","80.76"%," 9/65 ","3.6","Q1","3.1","0.7",
"MARINE GEOLOGY","MAR GEOL","ELSEVIER","0025-3227","1872-6151","OCEANOGRAPHY","SCIE","13,973","2.2","Q2","0.71","24.01"%," 28/65 ","2.9","Q2","2","0.5",
"APPLIED OCEAN RESEARCH","APPL OCEAN RES","ELSEVIER SCI LTD","0141-1187","1879-1549","OCEANOGRAPHY","SCIE","13,115","4.4","Q1","1.32","16.87"%," 6/65 ","4.6","Q1","4.1","1.1",
"PROGRESS IN OCEANOGRAPHY","PROG OCEANOGR","PERGAMON-ELSEVIER SCIENCE LTD","0079-6611","1873-4472","OCEANOGRAPHY","SCIE","11,757","3.6","Q1","0.59","36.73"%," 8/65 ","4","Q1","3.4","0.7",
"DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY","DEEP-SEA RES PT II","PERGAMON-ELSEVIER SCIENCE LTD","0967-0645","1879-0100","OCEANOGRAPHY","SCIE","10,638","3","Q1","0.88","23.66"%," 14/65 ","2.8","Q2","2.8","0.7",
"CONTINENTAL SHELF RESEARCH","CONT SHELF RES","PERGAMON-ELSEVIER SCIENCE LTD","0278-4343","1873-6955","OCEANOGRAPHY","SCIE","10,043","2.2","Q2","0.7","20"%," 28/65 ","2.4","Q2","2.1","0.3",
"MARINE CHEMISTRY","MAR CHEM","ELSEVIER","0304-4203","1872-7581","OCEANOGRAPHY","SCIE","9,364","2.5","Q2","0.65","23.27"%," 22/65 ","2.9","Q2","2.3","0.4",
"DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS","DEEP-SEA RES PT I","PERGAMON-ELSEVIER SCIENCE LTD","0967-0637","1879-0119","OCEANOGRAPHY","SCIE","8,595","2.1","Q2","0.72","25"%," 32/65 ","2.4","Q2","1.9","0.5",
"IEEE JOURNAL OF OCEANIC ENGINEERING","IEEE J OCEANIC ENG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0364-9059","1558-1691","OCEANOGRAPHY","SCIE","7,445","5.3","Q1","1.12","14.38"%," 4/65 ","4.9","Q1","4.9","0.5",
"JOURNAL OF MARINE SYSTEMS","J MARINE SYST","ELSEVIER","0924-7963","1879-1573","OCEANOGRAPHY","SCIE","7,180","2.5","Q2","0.82","17.88"%," 22/65 ","2.9","Q2","2.5","0.5",
"Annual Review of Marine Science","ANNU REV MAR SCI","ANNUAL REVIEWS","1941-1405","1941-0611","OCEANOGRAPHY","SCIE","6,987","18.9","Q1","2.92","68.25"%," 1/65 ","18.9","Q1","18.6","8",
"JOURNAL OF PLANKTON RESEARCH","J PLANKTON RES","OXFORD UNIV PRESS","0142-7873","1464-3774","OCEANOGRAPHY","SCIE","6,314","2","Q3","0.73","30.26"%," 35/65 ","2.3","Q3","1.9","0.6",
"MARINE AND FRESHWATER RESEARCH","MAR FRESHWATER RES","CSIRO PUBLISHING","1323-1650","1448-6059","OCEANOGRAPHY","SCIE","5,864","1.5","Q3","0.63","41.16"%," 44/65 ","1.8","Q3","1.5","0.4",
"OCEAN MODELLING","OCEAN MODEL","ELSEVIER SCI LTD","1463-5003","1463-5011","OCEANOGRAPHY","SCIE","5,422","2.9","Q1","0.8","30.82"%," 16/65 ","3.1","Q1","2.6","0.6",
