"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Categories: 'PLANT SCIENCES' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,Annual Review of Plant Biology,ANNU REV PLANT BIOL,1543-5008,"20,410",19.540,19.320,24.792,4.586,29,13.0,6.7,0.015090,9.195,0.00,99.786,1.84139
2,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,1360-1385,"23,935",14.416,14.127,15.727,3.289,83,9.6,5.5,0.025050,4.758,0.00,99.359,3.05621
3,Nature Plants,NAT PLANTS,2055-026X,"5,923",13.256,12.961,14.576,3.000,127,2.9,7.1,0.027680,5.769,93.70,98.932,3.37715
4,Annual Review of Phytopathology,ANNU REV PHYTOPATHOL,0066-4286,"8,104",12.623,12.453,13.878,0.478,23,12.7,7.8,0.007610,4.604,0.00,98.504,0.92917
5,Molecular Plant,MOL PLANT,1674-2052,"11,432",12.084,11.607,12.744,2.942,103,4.8,7.3,0.028530,4.193,93.20,97.102,3.48136
6,PLANT CELL,PLANT CELL,1040-4651,"54,927",9.618,9.277,10.144,2.291,151,11.3,8.9,0.048640,3.669,98.01,92.845,5.93434
7,NEW PHYTOLOGIST,NEW PHYTOL,0028-646X,"57,929",8.512,7.890,8.795,2.855,595,7.8,8.7,0.081910,2.752,83.19,97.222,9.99329
8,CURRENT OPINION IN PLANT BIOLOGY,CURR OPIN PLANT BIOL,1369-5266,"14,836",8.356,8.101,8.483,1.719,89,9.1,5.2,0.022670,2.949,0.00,96.795,2.76656
9,PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,1467-7644,"9,587",8.154,7.804,7.658,3.159,176,4.4,7.9,0.018450,1.970,96.02,95.139,2.25123
10,PLANT PHYSIOLOGY,PLANT PHYSIOL,0032-0889,"87,261",6.902,6.542,7.520,1.820,388,12.4,8.7,0.071680,2.343,100.00,95.940,8.74609
11,PLANT CELL AND ENVIRONMENT,PLANT CELL ENVIRON,0140-7791,"25,833",6.362,6.059,7.044,2.367,218,9.9,9.0,0.025590,1.910,88.99,95.513,3.12221
12,CRITICAL REVIEWS IN PLANT SCIENCES,CRIT REV PLANT SCI,0735-2689,"3,797",6.235,6.088,7.891,0.588,17,12.1,9.2,0.002200,1.901,0.00,95.085,0.26943
