Journal Data Filtered By: Selected Categories: DE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
PLANT PHYSIOLOGY,0032-0889,1532-2548,"PLANT SCIENCES - SCIE","102,986",8.340,"Q1",2.62,8.18%,8.972,7.945,2.422,0.05955,12.47651,2.464,96.383,411,8.9,12.6,99.04%,415,
NEW PHYTOLOGIST,0028-646X,1469-8137,"PLANT SCIENCES - SCIE","72,708",10.151,"Q1",2.68,22.40%,10.475,9.227,2.900,0.07619,15.96260,2.945,97.234,754,8.4,7.7,84.91%,888,
Frontiers in Plant Science,1664-462X,1664-462X,"PLANT SCIENCES - SCIE","72,297",5.753,"Q1",1.39,100.00%,6.612,5.257,0.897,0.12126,25.40724,1.322,92.979,1797,8.7,3.9,84.13%,2136,
PLANT CELL,1040-4651,1532-298X,"PLANT SCIENCES - SCIE","64,794",11.277,"Q1",2.46,10.29%,12.061,10.735,3.686,0.03626,7.59719,3.930,92.462,195,8.6,11.7,95.59%,204,
JOURNAL OF EXPERIMENTAL BOTANY,0022-0957,1460-2431,"PLANT SCIENCES - SCIE","61,679",6.992,"Q1",1.64,60.42%,7.860,6.560,2.205,0.04657,9.75857,1.937,94.681,446,8.7,8.8,80.80%,552,
PLANT JOURNAL,0960-7412,1365-313X,"PLANT SCIENCES - SCIE","54,831",6.417,"Q1",2.29,22.29%,7.627,6.099,1.928,0.03507,7.34836,2.171,93.830,509,9.1,11.2,98.64%,516,
JOURNAL OF ETHNOPHARMACOLOGY,0378-8741,1872-7573,"PLANT SCIENCES - SCIE","45,538",4.360,"Q1",1.35,2.33%,4.488,3.973,1.579,0.01939,4.06284,0.635,77.580,745,8.0,9.0,87.54%,851,
PLANT AND SOIL,0032-079X,1573-5036,"PLANT SCIENCES - SCIE","44,914",4.192,"Q1",1.29,11.83%,4.712,3.881,1.047,0.01951,4.08941,0.975,81.461,451,9.9,11.5,96.37%,468,
PHYTOCHEMISTRY,0031-9422,1873-3700,"PLANT SCIENCES - SCIE","37,013",4.072,"Q1",0.94,3.19%,4.132,3.821,1.212,0.00847,1.77517,0.756,68.345,246,10.2,18.9,94.62%,260,
JOURNAL OF NATURAL PRODUCTS,0163-3864,1520-6025,"PLANT SCIENCES - SCIE","32,074",4.050,"Q1",1.32,3.08%,4.603,3.720,1.245,0.01649,3.45656,0.815,68.995,411,9.1,11.0,97.86%,420,
PLANT CELL AND ENVIRONMENT,0140-7791,1365-3040,"PLANT SCIENCES - SCIE","30,695",7.228,"Q1",2.11,17.35%,7.791,6.875,1.628,0.02129,4.46164,1.904,95.532,272,9.1,10.3,92.83%,293,
TRENDS IN PLANT SCIENCE,1360-1385,1878-4372,"PLANT SCIENCES - SCIE","29,531",18.313,"Q1",1.77,14.06%,20.034,17.970,5.627,0.02277,4.77251,5.305,99.362,0,5.8,9.9,0.00%,83,
