"Journal Data Filtered By:  Selected Categories: PLANT SCIENCES Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"PLANT PHYSIOLOGY","PLANT PHYSIOL","0032-0889","1532-2548","PLANT SCIENCES - SCIE","106,229","8.005","Q1","2.37","37"%," 12/238 ","9.115","7.627","1.865"," 5/258 ","98.26","0.046","9.798","2.121","95.17","Q1","452","98.23"%,"12.9","8.9","444",
"Frontiers in Plant Science","FRONT PLANT SCI","1664-462X","1664-462X","PLANT SCIENCES - SCIE","94,922","6.627","Q1","1.32","99.14"%," 20/238 ","7.255","5.96","0.909"," 25/258 ","90.5","0.109","23.264","1.166","91.81","Q1","3,074","86.92"%,"4.3","8.5","2,672",
"NEW PHYTOLOGIST","NEW PHYTOL","0028-646X","1469-8137","PLANT SCIENCES - SCIE","82,714","10.323","Q1","2.29","28.68"%," 8/238 ","10.768","9.646","1.991"," 7/258 ","97.48","0.071","15.127","2.574","96.85","Q1","669","85.95"%,"7.7","8.6","575",
"JOURNAL OF EXPERIMENTAL BOTANY","J EXP BOT","0022-0957","1460-2431","PLANT SCIENCES - SCIE","67,609","7.298","Q1","1.64","48.95"%," 15/238 ","8.291","6.825","1.96"," 13/258 ","95.16","0.037","7.951","1.688","93.91","Q1","549","72.68"%,"9","9","399",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","PLANT SCIENCES - SCIE","67,319","12.085","Q1","2.31","35.17"%," 6/238 ","12.796","11.707","3.606"," 6/258 ","97.87","0.03","6.335","3.549","97.69","Q1","188","94.68"%,"12.2","9.2","178",
"PLANT JOURNAL","PLANT J","0960-7412","1365-313X","PLANT SCIENCES - SCIE","58,839","7.091","Q1","1.92","25.77"%," 17/238 ","8.028","6.733","1.27"," 8/258 ","97.09","0.03","6.456","1.87","93.07","Q1","470","97.02"%,"11.5","8.7","456",
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","0378-8741","1872-7573","PLANT SCIENCES - SCIE","53,915","5.195","Q1","1.44","5.42"%," 31/238 ","5.242","4.579","1.596"," 19/258 ","92.83","0.018","3.93","0.623","87.18","Q2","1,382","84.73"%,"8.7","7.7","1,171",
"PLANT AND SOIL","PLANT SOIL","0032-079X","1573-5036","PLANT SCIENCES - SCIE","50,131","4.993","Q1","1.3","14.1"%," 35/238 ","5.44","4.675","0.98"," 28/258 ","89.34","0.019","3.997","0.966","85.5","Q1","445","96.85"%,"11.7","9.4","431",
"PHYTOCHEMISTRY","PHYTOCHEMISTRY","0031-9422","1873-3700","PLANT SCIENCES - SCIE","38,251","4.004","Q1","0.9","4.81"%," 53/238 ","4.129","3.767","0.967"," 60/258 ","76.94","0.006","1.389","0.641","77.94","Q2","359","93.59"%,"18.8","9.9","336",
"JOURNAL OF NATURAL PRODUCTS","J NAT PROD","0163-3864","1520-6025","PLANT SCIENCES - SCIE","34,341","4.803","Q1","1.24","6.27"%," 38/238 ","4.869","4.52","0.949"," 30/258 ","88.57","0.015","3.166","0.786","84.24","Q1","351","97.44"%,"11.2","9.5","342",
