"Journal Data Filtered By:  Selected Categories: PLANT SCIENCES Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"Frontiers in Plant Science","FRONT PLANT SCI","1664-462X","1664-462X","PLANT SCIENCES - SCIE","115,049","5.6","Q1","1.24","99.5"%," 27/239 ","6.8","Q1","4.8","0.8",
"PLANT PHYSIOLOGY","PLANT PHYSIOL","0032-0889","1532-2548","PLANT SCIENCES - SCIE","104,555","7.4","Q1","2.01","46.85"%," 15/239 ","8.8","Q1","7","2",
"NEW PHYTOLOGIST","NEW PHYTOL","0028-646X","1469-8137","PLANT SCIENCES - SCIE","85,431","9.4","Q1","2.14","28.78"%," 11/239 ","10.5","Q1","8.9","1.9",
"PLANT CELL","PLANT CELL","1040-4651","1532-298X","PLANT SCIENCES - SCIE","68,851","12","Q1","2.28","41.44"%," 6/239 ","13.1","Q1","11.4","3.3",
"JOURNAL OF EXPERIMENTAL BOTANY","J EXP BOT","0022-0957","1460-2431","PLANT SCIENCES - SCIE","68,237","6.9","Q1","1.48","36.29"%," 18/239 ","8","Q1","6.6","1.6",
"PLANT JOURNAL","PLANT J","0960-7412","1365-313X","PLANT SCIENCES - SCIE","60,885","7.2","Q1","1.84","21.22"%," 17/239 ","7.9","Q1","6.9","1.4",
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","0378-8741","1872-7573","PLANT SCIENCES - SCIE","55,776","5.4","Q1","1.46","8.75"%," 29/239 ","5.3","Q1","5.1","1.2",
"PLANT AND SOIL","PLANT SOIL","0032-079X","1573-5036","PLANT SCIENCES - SCIE","47,131","4.9","Q1","1.27","19.34"%," 37/239 ","5.2","Q1","4.5","1",
"PHYTOCHEMISTRY","PHYTOCHEMISTRY","0031-9422","1873-3700","PLANT SCIENCES - SCIE","35,432","3.8","Q1","0.85","8.92"%," 58/239 ","4","Q2","3.5","0.8",
"PLANT CELL AND ENVIRONMENT","PLANT CELL ENVIRON","0140-7791","1365-3040","PLANT SCIENCES - SCIE","33,059","7.3","Q1","1.79","24.04"%," 16/239 ","8.1","Q1","7","1.3",
"TRENDS IN PLANT SCIENCE","TRENDS PLANT SCI","1360-1385","1878-4372","PLANT SCIENCES - SCIE","32,959","20.5","Q1","1.76","32.41"%," 3/239 ","22.5","Q1","20.1","7.3",
