"Journal Data Filtered By:  Selected Categories: PLANT SCIENCES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"Frontiers in Plant Science","FRONT PLANT SCI","FRONTIERS MEDIA SA","1664-462X","1664-462X","PLANT SCIENCES","SCIE","147,440","4.8","Q1","1.13","99.92"%," 33/273 ","5.7","Q1","4.5","1",
"PLANT PHYSIOLOGY","PLANT PHYSIOL","OXFORD UNIV PRESS INC","0032-0889","1532-2548","PLANT SCIENCES","SCIE","95,537","6.9","Q1","1.92","31.1"%," 17/273 ","7.7","Q1","6.5","1.9",
"NEW PHYTOLOGIST","NEW PHYTOL","WILEY","0028-646X","1469-8137","PLANT SCIENCES","SCIE","90,962","8.1","Q1","2.06","39.16"%," 12/273 ","10.3","Q1","7.5","1.8",
"JOURNAL OF EXPERIMENTAL BOTANY","J EXP BOT","OXFORD UNIV PRESS","0022-0957","1460-2431","PLANT SCIENCES","SCIE","64,106","5.7","Q1","1.27","32.77"%," 24/273 ","6.8","Q1","5.5","1.4",
"Plants-Basel","PLANTS-BASEL","MDPI","2223-7747","2223-7747","PLANT SCIENCES","SCIE","63,547","4.1","Q1","1.06","99.99"%," 45/273 ","4.5","Q1","3.7","0.9",
"PLANT CELL","PLANT CELL","OXFORD UNIV PRESS INC","1040-4651","1532-298X","PLANT SCIENCES","SCIE","63,239","11.6","Q1","2.31","30.45"%," 6/273 ","12.1","Q1","11.1","3.4",
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","ELSEVIER IRELAND LTD","0378-8741","1872-7573","PLANT SCIENCES","SCIE","62,205","5.4","Q1","1.44","9.43"%," 29/273 ","5.4","Q1","4.8","1.2",
"PLANT JOURNAL","PLANT J","WILEY","0960-7412","1365-313X","PLANT SCIENCES","SCIE","58,328","5.7","Q1","1.68","29.68"%," 24/273 ","7","Q1","5.5","1",
"Agronomy-Basel","AGRONOMY-BASEL","MDPI","N/A","2073-4395","PLANT SCIENCES","SCIE","49,755","3.4","Q2","1","100"%," 69/273 ","3.8","Q1","3","0.7",
"PLANT AND SOIL","PLANT SOIL","SPRINGER","0032-079X","1573-5036","PLANT SCIENCES","SCIE","45,426","4.1","Q1","1.08","24"%," 45/273 ","4.7","Q1","3.8","0.9",
"PLANT PHYSIOLOGY AND BIOCHEMISTRY","PLANT PHYSIOL BIOCH","ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","0981-9428","1873-2690","PLANT SCIENCES","SCIE","33,500","5.7","Q1","1.7","8.61"%," 24/273 ","6.4","Q1","5.2","1.3",
"TRENDS IN PLANT SCIENCE","TRENDS PLANT SCI","CELL PRESS","1360-1385","1878-4372","PLANT SCIENCES","SCIE","32,430","20.8","Q1","1.99","17.7"%," 3/273 ","21.3","Q1","20.4","7.6",
"PHYTOCHEMISTRY","PHYTOCHEMISTRY","PERGAMON-ELSEVIER SCIENCE LTD","0031-9422","1873-3700","PLANT SCIENCES","SCIE","32,414","3.4","Q2","0.81","5.48"%," 69/273 ","3.6","Q2","3.1","0.8",
"PLANT CELL AND ENVIRONMENT","PLANT CELL ENVIRON","WILEY","0140-7791","1365-3040","PLANT SCIENCES","SCIE","31,977","6.3","Q1","1.57","29.29"%," 20/273 ","7.7","Q1","5.7","1.1",
"PHYTOMEDICINE","PHYTOMEDICINE","ELSEVIER GMBH","0944-7113","1618-095X","PLANT SCIENCES","SCIE","30,999","8.3","Q1","2.19","15.16"%," 11/273 ","8","Q1","7.7","1.6",
"BMC PLANT BIOLOGY","BMC PLANT BIOL","BMC","1471-2229","1471-2229","PLANT SCIENCES","SCIE","30,379","4.8","Q1","1.3","99.96"%," 33/273 ","5.4","Q1","4.4","1",
"JOURNAL OF NATURAL PRODUCTS","J NAT PROD","AMER CHEMICAL SOC","0163-3864","1520-6025","PLANT SCIENCES","SCIE","28,912","3.6","Q1","1.02","13.96"%," 58/273 ","4.2","Q1","3.3","0.9",
"Molecular Plant","MOL PLANT","CELL PRESS","1674-2052","1752-9867","PLANT SCIENCES","SCIE","27,566","24.1","Q1","4.36","14.72"%," 2/273 ","25.8","Q1","23.5","4.8",
"PLANT DISEASE","PLANT DIS","AMER PHYTOPATHOLOGICAL SOC","0191-2917","1943-7692","PLANT SCIENCES","SCIE","26,603","4.4","Q1","0.77","2.78"%," 41/273 ","4.8","Q1","3.6","0.6",
"JOURNAL OF ECOLOGY","J ECOL","WILEY","0022-0477","1365-2745","PLANT SCIENCES","SCIE","25,403","5.6","Q1","1.4","41.15"%," 27/273 ","6.5","Q1","5.4","1",
