"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,2165-8102,709,5.200,5.000,6.683,0.933,15,3.9,9.7,0.003160,2.303,93.33,96.624,0.37585
2,MAMMAL REVIEW,MAMMAL REV,0305-1838,"1,917",4.706,4.549,4.930,1.000,28,11.2,10.6,0.002300,1.519,25.00,99.118,0.27416
3,JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,0021-8790,"16,556",4.364,4.152,5.017,1.965,142,11.9,9.4,0.017770,1.877,94.37,92.100,2.11123
4,WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,0084-0173,827,3.333,3.000,7.250,1.333,6,26.4,12.7,0.000550,2.605,100.00,85.404,0.06541
5,MALACOLOGIA,MALACOLOGIA,0076-2997,825,3.250,3.250,1.829,1.000,5,19.3,19.8,0.000600,0.598,100.00,97.353,0.07130
6,JOURNAL OF COMPARATIVE NEUROLOGY,J COMP NEUROL,0021-9967,"30,418",3.239,2.964,3.336,0.904,167,18.5,12.6,0.017320,1.359,98.80,77.128,2.05726
7,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,0145-305X,"8,452",3.119,2.589,3.274,0.856,271,6.7,9.4,0.010090,0.683,100.00,76.724,1.19917
8,INTEGRATIVE AND COMPARATIVE BIOLOGY,INTEGR COMP BIOL,1540-7063,"5,417",3.101,2.917,3.442,1.327,104,8.8,8.8,0.008010,1.214,96.15,95.588,0.95246
9,Frontiers in Zoology,FRONT ZOOL,1742-9994,"2,334",2.982,2.830,3.763,0.255,47,5.7,11.3,0.005740,1.287,93.62,95.000,0.68283
10,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,ZOOL J LINN SOC-LOND,0024-4082,"5,277",2.909,2.791,2.986,1.159,113,10.2,14.2,0.006630,1.012,96.46,94.412,0.78786
