Journal Data Filtered By: Selected Categories: ZM Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
JOURNAL OF COMPARATIVE NEUROLOGY,0021-9967,1096-9861,"ZOOLOGY - SCIE","32,741",3.215,"Q1",1.45,13.24%,3.460,2.794,1.055,0.01146,2.40132,1.266,65.326,280,13.2,19.7,95.56%,293,
ANIMAL BEHAVIOUR,0003-3472,1095-8282,"ZOOLOGY - SCIE","29,231",2.844,"Q1",1.32,6.86%,3.217,2.675,0.722,0.01529,3.20385,1.051,67.456,225,12.4,14.8,96.15%,234,
ZOOTAXA,1175-5326,1175-5334,"ZOOLOGY - SCIE","26,637",1.091,"Q3",0.65,0.00%,1.097,0.685,0.394,0.02412,5.05420,0.219,32.286,2259,22.9,6.3,94.88%,2381,
JOURNAL OF ANIMAL ECOLOGY,0021-8790,1365-2656,"ZOOLOGY - SCIE","20,395",5.091,"Q1",2.16,21.47%,5.537,4.691,1.851,0.01359,2.84914,1.777,90.701,278,10.0,12.5,96.19%,289,
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,0340-5443,1432-0762,"ZOOLOGY - SCIE","13,887",2.980,"Q1",0.99,18.47%,2.755,2.797,0.434,0.00867,1.81692,0.909,68.666,142,12.5,13.8,99.30%,143,
CANADIAN JOURNAL OF ZOOLOGY,0008-4301,1480-3283,"ZOOLOGY - SCIE","13,230",1.597,"Q2",0.87,2.07%,1.637,1.540,0.455,0.00286,0.59958,0.452,55.143,85,14.2,22.2,96.59%,88,
JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,1937-2817,"ZOOLOGY - SCIE","12,822",2.469,"Q1",1.06,10.66%,2.520,2.121,0.720,0.00471,0.98729,0.661,63.455,163,12.7,14.1,99.39%,164,
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,1095-6433,1531-4332,"ZOOLOGY - SCIE","12,176",2.320,"Q1",0.86,2.46%,2.465,2.105,0.908,0.00444,0.93109,0.543,44.465,131,11.5,14.3,100.00%,131,
BEHAVIORAL ECOLOGY,1045-2249,1465-7279,"ZOOLOGY - SCIE","11,428",2.671,"Q1",1.03,9.59%,3.329,2.437,1.633,0.01005,2.10720,1.078,58.069,144,12.0,10.5,97.96%,147,
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,0145-305X,1879-0089,"ZOOLOGY - SCIE","11,385",3.636,"Q1",1.67,3.94%,3.654,3.141,1.307,0.00822,1.72370,0.678,79.166,236,10.0,7.3,96.72%,244,
JOURNAL OF MAMMALOGY,0022-2372,1545-1542,"ZOOLOGY - SCIE","11,055",2.416,"Q1",1.33,7.09%,2.901,2.251,0.526,0.00562,1.17819,0.751,80.857,116,13.6,15.0,100.00%,116,
JOURNAL OF ZOOLOGY,0952-8369,1469-7998,"ZOOLOGY - SCIE","10,868",2.322,"Q1",1.19,5.65%,2.434,2.251,0.729,0.00351,0.73675,0.700,79.714,115,12.3,18.7,97.46%,118,
JOURNAL OF INVERTEBRATE PATHOLOGY,0022-2011,1096-0805,"ZOOLOGY - SCIE","8,248",2.841,"Q1",1.49,3.16%,3.368,2.535,1.044,0.00441,0.92505,0.663,90.000,134,10.1,10.4,99.26%,135,
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,1096-4959,1879-1107,"ZOOLOGY - SCIE","8,130",2.231,"Q2",0.91,1.75%,2.215,2.106,0.563,0.00212,0.44605,0.416,46.766,85,10.7,16.5,97.70%,87,
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,1532-0456,1878-1659,"ZOOLOGY - SCIE","7,918",3.228,"Q1",1.08,1.81%,3.289,3.066,0.897,0.00320,0.67075,0.569,52.074,139,9.6,12.7,95.86%,145,
INTEGRATIVE AND COMPARATIVE BIOLOGY,1540-7063,1557-7023,"ZOOLOGY - SCIE","6,964",3.326,"Q1",1.90,6.59%,3.740,3.153,1.541,0.00683,1.43264,1.190,96.286,119,10.2,9.3,97.54%,122,
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4082,1096-3642,"ZOOLOGY - SCIE","6,920",3.286,"Q1",1.81,5.13%,3.321,3.151,2.007,0.00590,1.23771,1.030,95.714,140,14.1,10.6,92.11%,152,
ZooKeys,1313-2989,1313-2970,"ZOOLOGY - SCIE","6,838",1.546,"Q2",0.86,100.00%,1.442,1.311,0.596,0.01119,2.34593,0.409,54.000,547,17.5,4.8,96.13%,569,
COPEIA,0045-8511,1938-5110,"ZOOLOGY - SCIE","6,814",1.402,"Q3",0.77,0.00%,1.629,1.283,0.520,0.00178,0.37487,0.471,47.143,74,14.2,27.4,98.67%,75,
BEHAVIOUR,0005-7959,1568-539X,"ZOOLOGY - SCIE","6,011",1.991,"Q2",0.67,16.05%,1.948,1.963,0.222,0.00230,0.48307,0.645,45.278,53,12.9,20.9,98.15%,54,
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,0340-7594,1432-1351,"ZOOLOGY - SCIE","5,887",1.836,"Q2",0.65,25.88%,2.218,1.717,1.211,0.00282,0.59273,0.689,25.360,66,14.2,16.6,86.84%,76,
BEHAVIOURAL PROCESSES,0376-6357,1872-8308,"ZOOLOGY - SCIE","5,880",1.777,"Q2",0.87,4.86%,2.096,1.599,0.333,0.00614,1.28812,0.591,28.687,168,12.6,8.2,98.25%,171,
JOURNAL OF THERMAL BIOLOGY,0306-4565,1879-0992,"ZOOLOGY - SCIE","5,864",2.902,"Q1",1.14,2.71%,3.102,2.571,0.598,0.00575,1.20571,0.645,78.636,243,10.5,6.3,93.82%,259,
AMERICAN JOURNAL OF PRIMATOLOGY,0275-2565,1098-2345,"ZOOLOGY - SCIE","5,748",2.371,"Q1",1.29,8.13%,2.464,2.048,0.776,0.00359,0.75303,0.664,80.286,126,11.8,10.9,94.03%,134,
ETHOLOGY,0179-1613,1439-0310,"ZOOLOGY - SCIE","5,157",1.897,"Q2",0.67,10.09%,1.752,1.790,0.669,0.00306,0.64312,0.577,39.504,139,12.7,12.9,97.89%,142,
REPRODUCTION FERTILITY AND DEVELOPMENT,1031-3613,1448-5990,"ZOOLOGY - SCIE","5,139",2.311,"Q1",0.82,5.45%,2.396,2.220,0.924,0.00433,0.90848,0.480,45.011,113,10.4,7.4,95.76%,118,
Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology,0174-1578,1432-136X,"ZOOLOGY - SCIE","4,706",2.200,"Q2",1.01,9.95%,2.605,2.057,0.531,0.00252,0.52989,0.651,50.317,78,14.0,11.8,96.30%,81,
CLADISTICS,0748-3007,1096-0031,"ZOOLOGY - SCIE","4,549",5.254,"Q1",2.53,7.44%,6.994,4.944,1.480,0.00430,0.90240,2.390,90.071,50,12.7,11.2,100.00%,50,
MARINE MAMMAL SCIENCE,0824-0469,1748-7692,"ZOOLOGY - SCIE","4,445",2.090,"Q2",1.01,9.47%,2.318,1.834,0.657,0.00249,0.52291,0.601,65.513,136,12.6,12.2,97.14%,140,
ANIMAL COGNITION,1435-9448,1435-9456,"ZOOLOGY - SCIE","4,359",3.084,"Q1",1.46,27.39%,3.295,2.657,0.832,0.00510,1.07017,0.976,74.259,129,11.3,7.1,94.16%,137,
JOURNAL OF HERPETOLOGY,0022-1511,1937-2418,"ZOOLOGY - SCIE","4,221",1.577,"Q2",0.81,0.62%,1.380,1.500,0.172,0.00146,0.30615,0.396,54.571,58,15.4,18.3,100.00%,58,
INTERNATIONAL JOURNAL OF PRIMATOLOGY,0164-0291,1573-8604,"ZOOLOGY - SCIE","4,192",2.264,"Q1",1.33,18.44%,2.440,2.066,1.860,0.00179,0.37568,0.672,76.857,50,13.0,14.0,100.00%,50,
JOURNAL OF NATURAL HISTORY,0022-2933,1464-5262,"ZOOLOGY - SCIE","3,950",1.016,"Q3",0.40,0.94%,1.006,0.967,0.252,0.00228,0.47899,0.305,21.801,114,16.9,14.7,95.80%,119,
WILDLIFE RESEARCH,1035-3712,1448-5494,"ZOOLOGY - SCIE","3,874",2.511,"Q1",0.81,5.46%,2.790,2.080,0.822,0.00227,0.47606,0.643,65.517,97,10.1,10.9,96.04%,101,
PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,1522-2152,1537-5293,"ZOOLOGY - SCIE","3,630",2.247,"Q1",1.08,0.00%,2.596,2.226,0.750,0.00193,0.40520,0.722,52.649,35,12.8,11.9,97.22%,36,
JOURNAL OF NEMATOLOGY,0022-300X,N/A,"ZOOLOGY - SCIE","3,460",1.402,"Q3",0.74,100.00%,2.012,0.985,0.225,0.00107,0.22575,0.406,47.143,128,13.8,19.8,99.22%,129,
HERPETOLOGICA,0018-0831,1938-5099,"ZOOLOGY - SCIE","3,225",1.676,"Q2",0.89,0.00%,1.554,1.632,1.279,0.00084,0.17605,0.439,56.286,42,10.3,27.8,97.67%,43,
JOURNAL OF COMPARATIVE PSYCHOLOGY,0735-7036,1939-2087,"ZOOLOGY - SCIE","3,202",2.231,"Q2",0.82,0.00%,2.252,1.989,0.846,0.00150,0.31525,0.696,46.204,39,12.5,16.6,100.00%,39,
LABORATORY ANIMALS,0023-6772,1758-1117,"ZOOLOGY - SCIE","3,152",2.471,"Q1",1.08,14.20%,2.712,2.304,1.448,0.00177,0.37154,0.645,80.555,59,9.3,11.7,88.06%,67,
JOURNAL OF CRUSTACEAN BIOLOGY,0278-0372,1937-240X,"ZOOLOGY - SCIE","3,065",1.430,"Q3",0.69,5.43%,1.501,1.330,0.423,0.00183,0.38523,0.403,41.643,94,19.0,14.5,96.91%,97,
ZOOLOGICAL SCIENCE,0289-0003,0289-0003,"ZOOLOGY - SCIE","3,063",0.931,"Q3",0.53,0.51%,1.036,0.878,0.152,0.00107,0.22521,0.290,25.429,66,14.0,13.9,100.00%,66,
AMERICAN MUSEUM NOVITATES,0003-0082,1937-352X,"ZOOLOGY - SCIE","2,990",1.963,"Q2",0.77,0.00%,1.943,1.870,0.611,0.00085,0.17983,0.683,54.536,17,17.1,23.8,94.44%,18,
Frontiers in Zoology,1742-9994,1742-9994,"ZOOLOGY - SCIE","2,952",3.172,"Q1",1.60,100.00%,3.943,3.118,0.694,0.00351,0.73697,1.299,94.000,35,11.3,7.2,97.22%,36,
ANIMAL WELFARE,0962-7286,N/A,"ZOOLOGY - SCIE","2,920",2.244,"Q1",1.18,0.87%,2.444,2.167,0.784,0.00100,0.20996,0.455,75.015,35,11.9,12.0,94.59%,37,
MAMMAL REVIEW,0305-1838,1365-2907,"ZOOLOGY - SCIE","2,908",4.927,"Q1",1.16,15.18%,5.614,4.636,2.105,0.00187,0.39256,1.433,90.114,14,9.7,11.3,24.56%,57,
ZOOLOGICA SCRIPTA,0300-3256,1463-6409,"ZOOLOGY - SCIE","2,866",3.140,"Q1",1.30,7.49%,3.169,2.974,0.890,0.00282,0.59145,0.986,75.214,73,11.2,9.5,100.00%,73,
JOURNAL OF HELMINTHOLOGY,0022-149X,1475-2697,"ZOOLOGY - SCIE","2,842",2.170,"Q2",0.99,3.08%,1.958,1.929,0.827,0.00228,0.47922,0.465,57.853,199,12.9,8.9,95.67%,208,
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1612-4642,1439-0574,"ZOOLOGY - SCIE","2,810",1.983,"Q2",0.74,20.65%,2.038,1.869,0.520,0.00219,0.45900,0.455,50.891,99,10.9,7.7,99.00%,100,
PRIMATES,0032-8332,1610-7365,"ZOOLOGY - SCIE","2,794",2.163,"Q2",1.12,11.96%,2.004,1.865,0.867,0.00141,0.29744,0.536,71.714,100,12.8,15.3,95.24%,105,
BRAIN BEHAVIOR AND EVOLUTION,0006-8977,1421-9743,"ZOOLOGY - SCIE","2,743",1.808,"Q2",0.78,7.46%,2.167,1.712,0.333,0.00130,0.27428,0.731,27.225,15,16.1,16.3,100.00%,15,
NEMATOLOGY,1388-5545,N/A,"ZOOLOGY - SCIE","2,516",1.442,"Q3",0.85,4.05%,1.485,1.109,0.659,0.00128,0.26944,0.291,50.000,82,14.5,11.3,100.00%,82,
ZOO BIOLOGY,0733-3188,1098-2361,"ZOOLOGY - SCIE","2,500",1.421,"Q3",0.74,5.36%,1.582,1.215,0.311,0.00085,0.17868,0.279,46.974,59,12.2,12.2,96.72%,61,
ZOOLOGISCHER ANZEIGER,0044-5231,0044-5231,"ZOOLOGY - SCIE","2,491",1.521,"Q2",1.02,1.18%,1.721,1.385,0.547,0.00178,0.37491,0.461,52.857,83,15.4,19.2,96.51%,86,
Journal of the American Association for Laboratory Animal Science,1559-6109,1559-6109,"ZOOLOGY - SCIE","2,369",1.232,"Q3",0.77,0.00%,2.071,0.921,0.241,0.00168,0.35228,0.400,38.977,76,9.8,7.7,96.20%,79,
AUSTRALIAN JOURNAL OF ZOOLOGY,0004-959X,1446-5698,"ZOOLOGY - SCIE","2,365",0.757,"Q4",0.38,5.00%,1.019,0.757,0.100,0.00051,0.10765,0.239,18.571,8,11.8,24.6,80.00%,10,
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2329-8456,2329-8464,"ZOOLOGY - SCIE","2,309",2.478,"Q1",0.83,4.95%,2.337,2.045,0.941,0.00125,0.26386,0.724,52.298,34,20.3,16.8,100.00%,34,
MAMMALIAN BIOLOGY,1616-5047,1618-1476,"ZOOLOGY - SCIE","2,275",1.863,"Q2",1.05,8.45%,2.278,1.760,0.313,0.00262,0.55009,0.581,64.286,79,12.3,7.0,98.75%,80,
JOURNAL OF MOLLUSCAN STUDIES,0260-1230,1464-3766,"ZOOLOGY - SCIE","2,176",1.348,"Q3",0.67,3.05%,1.697,1.292,0.310,0.00121,0.25546,0.449,37.825,42,13.9,13.9,100.00%,42,
PAKISTAN JOURNAL OF ZOOLOGY,0030-9923,N/A,"ZOOLOGY - SCIE","2,169",0.831,"Q4",0.51,98.52%,0.768,0.626,0.278,0.00170,0.35767,0.113,20.857,315,12.5,5.3,99.68%,316,
Neotropical Ichthyology,1679-6225,N/A,"ZOOLOGY - SCIE","2,143",2.091,"Q2",0.90,100.00%,2.155,1.868,0.293,0.00154,0.32346,0.454,71.143,57,11.9,8.1,98.28%,58,
Current Zoology,1674-5507,2396-9814,"ZOOLOGY - SCIE","2,131",2.624,"Q1",1.54,100.00%,3.026,2.523,1.426,0.00376,0.78849,0.944,86.000,68,10.7,5.4,100.00%,68,
Journal of Experimental Zoology Part A-Ecological and Integrative Physiology,2471-5638,2471-5646,"ZOOLOGY - SCIE","2,106",2.553,"Q1",1.14,3.88%,2.019,2.316,1.152,0.00163,0.34265,0.509,83.714,77,11.4,9.0,83.70%,92,
Zebrafish,1545-8547,1557-8542,"ZOOLOGY - SCIE","2,091",1.985,"Q2",0.96,5.00%,2.734,1.904,0.533,0.00231,0.48529,0.623,45.443,45,8.3,6.1,100.00%,45,
