"Journal Data Filtered By:  Selected Categories: ZOOLOGY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"JOURNAL OF COMPARATIVE NEUROLOGY","J COMP NEUROL","0021-9967","1096-9861","ZOOLOGY - SCIE","32,298","3.028","Q1","1.13","16.39"%," 18/176 ","3.337","2.766","0.858"," 26/179 ","85.75","0.011","2.326","1.13","90.06","Q1","134","98.51"%,"20.4","12.3","132",
"ANIMAL BEHAVIOUR","ANIM BEHAV","0003-3472","1095-8282","ZOOLOGY - SCIE","29,737","3.039","Q1","1.22","10.54"%," 17/176 ","3.259","2.813","0.705"," 16/179 ","91.34","0.012","2.466","0.9","90.63","Q1","254","99.21"%,"15.1","12.1","252",
"ZOOTAXA","ZOOTAXA","1175-5326","1175-5334","ZOOLOGY - SCIE","28,799","1.026","Q3","0.59","0"%," 129/176 ","1.048","0.666","0.333"," 108/179 ","39.94","0.02","4.353","0.195","26.99","Q4","2,199","94.32"%,"7.1","22.7","2,074",
"JOURNAL OF ANIMAL ECOLOGY","J ANIM ECOL","0021-8790","1365-2656","ZOOLOGY - SCIE","21,334","5.606","Q1","2.04","26.56"%," 3/176 ","5.655","5.364","1.214"," 3/179 ","98.6","0.014","2.913","1.676","98.58","Q1","224","97.77"%,"12.7","9.4","219",
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","BEHAV ECOL SOCIOBIOL","0340-5443","1432-0762","ZOOLOGY - SCIE","14,307","2.944","Q1","0.99","27.19"%," 20/176 ","3.021","2.74","0.761"," 39/179 ","78.49","0.007","1.556","0.882","88.92","Q1","163","96.32"%,"13.8","12.4","157",
"CANADIAN JOURNAL OF ZOOLOGY","CAN J ZOOL","0008-4301","1480-3283","ZOOLOGY - SCIE","13,002","1.654","Q2","0.87","3.54"%," 79/176 ","1.731","1.583","0.405"," 58/179 ","67.88","0.003","0.535","0.443","55.4","Q2","111","99.1"%,"22.8","14.7","110",
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY","COMP BIOCHEM PHYS A","1095-6433","1531-4332","ZOOLOGY - SCIE","12,663","2.888","Q1","0.92","7.98"%," 24/176 ","2.903","2.635","1.187"," 50/179 ","72.35","0.004","0.793","0.54","86.65","Q2","214","86.45"%,"14.4","12.6","185",
"JOURNAL OF WILDLIFE MANAGEMENT","J WILDLIFE MANAGE","0022-541X","1937-2817","ZOOLOGY - SCIE","12,495","2.586","Q1","0.95","15.83"%," 31/176 ","2.581","2.303","0.65"," 42/179 ","76.82","0.004","0.84","0.58","82.67","Q2","120","96.67"%,"14.8","12","116",
"DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","DEV COMP IMMUNOL","0145-305X","1879-0089","ZOOLOGY - SCIE","12,205","3.605","Q1","1.52","5.81"%," 9/176 ","3.833","3.007","1.031"," 9/179 ","95.25","0.007","1.576","0.634","95.17","Q1","386","93.26"%,"7.4","9.5","360",
"JOURNAL OF MAMMALOGY","J MAMMAL","0022-2372","1545-1542","ZOOLOGY - SCIE","12,038","2.291","Q2","1.28","12.44"%," 47/176 ","3.068","2.103","0.627"," 14/179 ","92.46","0.005","1.169","0.772","73.58","Q1","134","100"%,"16","13.6","134",
"BEHAVIORAL ECOLOGY","BEHAV ECOL","1045-2249","1465-7279","ZOOLOGY - SCIE","11,735","3.087","Q1","1","14.47"%," 16/176 ","3.214","2.893","1.261"," 37/179 ","79.61","0.008","1.654","0.929","91.19","Q1","142","97.18"%,"10.9","12.1","138",
"JOURNAL OF ZOOLOGY","J ZOOL","0952-8369","1469-7998","ZOOLOGY - SCIE","10,720","2.394","Q1","1.07","11.15"%," 38/176 ","2.309","2.348","0.4"," 31/179 ","82.96","0.003","0.616","0.608","78.69","Q1","80","97.5"%,"19.4","12.2","78",
