"Journal Data Filtered By:  Selected Categories: ZOOLOGY Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"JOURNAL OF COMPARATIVE NEUROLOGY","J COMP NEUROL","0021-9967","1096-9861","ZOOLOGY - SCIE","26,792","2.5","Q1","1.07","19.26"%," 20/177 ","2.9","Q1","2.3","0.7",
"ANIMAL BEHAVIOUR","ANIM BEHAV","0003-3472","1095-8282","ZOOLOGY - SCIE","25,722","2.5","Q1","1.18","29.47"%," 20/177 ","2.8","Q1","2.3","0.7",
"Zootaxa","ZOOTAXA","1175-5326","1175-5334","ZOOLOGY - SCIE","23,993","0.9","Q3","0.53","0"%," 124/177 ","0.9","Q3","0.6","0.3",
"JOURNAL OF ANIMAL ECOLOGY","J ANIM ECOL","0021-8790","1365-2656","ZOOLOGY - SCIE","19,200","4.8","Q1","1.84","26.64"%," 4/177 ","5","Q1","4.6","0.6",
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","BEHAV ECOL SOCIOBIOL","0340-5443","1432-0762","ZOOLOGY - SCIE","12,497","2.3","Q1","0.94","33.98"%," 30/177 ","2.7","Q1","2.1","0.7",
"JOURNAL OF WILDLIFE MANAGEMENT","J WILDLIFE MANAGE","0022-541X","1937-2817","ZOOLOGY - SCIE","11,668","2.3","Q1","0.92","20.09"%," 30/177 ","2.5","Q1","2","0.5",
"DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","DEV COMP IMMUNOL","0145-305X","1879-0089","ZOOLOGY - SCIE","11,246","2.9","Q1","1.25","13.3"%," 10/177 ","3.1","Q1","2.7","0.5",
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY","COMP BIOCHEM PHYS A","1095-6433","1531-4332","ZOOLOGY - SCIE","11,031","2.3","Q1","0.89","23.4"%," 30/177 ","2.3","Q1","2.2","0.7",
"CANADIAN JOURNAL OF ZOOLOGY","CAN J ZOOL","0008-4301","1480-3283","ZOOLOGY - SCIE","10,895","1.4","Q2","0.8","7.62"%," 77/177 ","1.5","Q2","1.4","0.3",
"BEHAVIORAL ECOLOGY","BEHAV ECOL","1045-2249","1465-7279","ZOOLOGY - SCIE","10,247","2.4","Q1","0.91","17.62"%," 25/177 ","2.6","Q1","2.2","1.3",
"JOURNAL OF MAMMALOGY","J MAMMAL","0022-2372","1545-1542","ZOOLOGY - SCIE","9,878","1.7","Q2","1.08","15.48"%," 57/177 ","2.3","Q1","1.6","0.4",
"JOURNAL OF ZOOLOGY","J ZOOL","0952-8369","1469-7998","ZOOLOGY - SCIE","9,146","2","Q1","1.03","16.73"%," 41/177 ","2.1","Q1","2","0.3",
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY","COMP BIOCHEM PHYS C","1532-0456","1878-1659","ZOOLOGY - SCIE","8,223","3.9","Q1","1.27","7.77"%," 6/177 ","3.8","Q1","3.7","1",
