"Journal Data Filtered By:  Selected Categories: ZOOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index
"JOURNAL OF EXPERIMENTAL BIOLOGY","J EXP BIOL","COMPANY BIOLOGISTS LTD","0022-0949","1477-9145","ZOOLOGY","SCIE","34,072","2.6","Q1","1.13","35.14"%," 12/182 ","2.7","Q1","2.3","1.1",
"Zootaxa","ZOOTAXA","MAGNOLIA PRESS","1175-5326","1175-5334","ZOOLOGY","SCIE","26,276","0.9","Q3","0.53","0.11"%," 116/182 ","0.8","Q4","0.6","0.3",
"ANIMAL BEHAVIOUR","ANIM BEHAV","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0003-3472","1095-8282","ZOOLOGY","SCIE","22,357","2.1","Q1","1.04","41.14"%," 24/182 ","2.4","Q1","1.9","0.5",
"JOURNAL OF COMPARATIVE NEUROLOGY","J COMP NEUROL","WILEY","0021-9967","1096-9861","ZOOLOGY","SCIE","21,696","2.1","Q1","0.96","41.03"%," 24/182 ","2.3","Q1","1.9","0.5",
"JOURNAL OF ANIMAL ECOLOGY","J ANIM ECOL","WILEY","0021-8790","1365-2656","ZOOLOGY","SCIE","18,764","3.7","Q1","1.55","47.59"%," 7/182 ","4.7","Q1","3.4","0.6",
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","BEHAV ECOL SOCIOBIOL","SPRINGER","0340-5443","1432-0762","ZOOLOGY","SCIE","11,298","1.9","Q1","0.82","42.38"%," 35/182 ","2.1","Q1","1.7","0.4",
"JOURNAL OF WILDLIFE MANAGEMENT","J WILDLIFE MANAGE","WILEY","0022-541X","1937-2817","ZOOLOGY","SCIE","10,835","1.9","Q1","0.78","38.73"%," 35/182 ","2.2","Q1","1.7","0.5",
"GENERAL AND COMPARATIVE ENDOCRINOLOGY","GEN COMP ENDOCR","ACADEMIC PRESS INC ELSEVIER SCIENCE","0016-6480","1095-6840","ZOOLOGY","SCIE","10,401","1.7","Q2","0.85","13.64"%," 48/182 ","2.2","Q1","1.6","0.5",
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY","COMP BIOCHEM PHYS A","ELSEVIER SCIENCE INC","1095-6433","1531-4332","ZOOLOGY","SCIE","10,385","2.2","Q1","0.87","22.61"%," 20/182 ","2.4","Q1","2.1","0.4",
"DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","DEV COMP IMMUNOL","ELSEVIER SCI LTD","0145-305X","1879-0089","ZOOLOGY","SCIE","10,115","2.4","Q1","1.08","10.37"%," 15/182 ","2.7","Q1","2.3","0.4",
"CANADIAN JOURNAL OF ZOOLOGY","CAN J ZOOL","CANADIAN SCIENCE PUBLISHING","0008-4301","1480-3283","ZOOLOGY","SCIE","9,952","1.2","Q2","0.7","15.27"%," 85/182 ","1.4","Q2","1.1","0.3",
"BEHAVIORAL ECOLOGY","BEHAV ECOL","OXFORD UNIV PRESS INC","1045-2249","1465-7279","ZOOLOGY","SCIE","9,326","2.2","Q1","0.87","37.85"%," 20/182 ","2.3","Q1","2","0.9",
"JOURNAL OF MAMMALOGY","J MAMMAL","OXFORD UNIV PRESS INC","0022-2372","1545-1542","ZOOLOGY","SCIE","9,300","1.6","Q2","0.93","17.68"%," 53/182 ","1.9","Q2","1.4","0.4",
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY","COMP BIOCHEM PHYS C","ELSEVIER SCIENCE INC","1532-0456","1878-1659","ZOOLOGY","SCIE","8,787","4.3","Q1","1.32","6.15"%," 5/182 ","4.1","Q1","4","0.7",
"JOURNAL OF ZOOLOGY","J ZOOL","WILEY","0952-8369","1469-7998","ZOOLOGY","SCIE","8,497","1.6","Q2","0.9","44.75"%," 53/182 ","2","Q1","1.5","0.4",
"JOURNAL OF THERMAL BIOLOGY","J THERM BIOL","PERGAMON-ELSEVIER SCIENCE LTD","0306-4565","1879-0992","ZOOLOGY","SCIE","8,437","2.9","Q1","1.29","20.43"%," 10/182 ","3.2","Q1","2.7","0.6",
"ZooKeys","ZOOKEYS","PENSOFT PUBLISHERS","1313-2989","1313-2970","ZOOLOGY","SCIE","7,356","1.3","Q2","0.75","99.41"%," 75/182 ","1.2","Q3","1.1","0.4",
"JOURNAL OF INVERTEBRATE PATHOLOGY","J INVERTEBR PATHOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0022-2011","1096-0805","ZOOLOGY","SCIE","7,339","2.4","Q1","1.81","21.58"%," 15/182 ","3","Q1","2.1","0.5",
"ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY","ZOOL J LINN SOC-LOND","OXFORD UNIV PRESS","0024-4082","1096-3642","ZOOLOGY","SCIE","7,183","2.8","Q1","1.6","17.31"%," 11/182 ","2.9","Q1","2.6","0.8",
"INTEGRATIVE AND COMPARATIVE BIOLOGY","INTEGR COMP BIOL","OXFORD UNIV PRESS INC","1540-7063","1557-7023","ZOOLOGY","SCIE","6,853","2.1","Q1","1.4","18.01"%," 24/182 ","2.7","Q1","2","0.8",
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY","COMP BIOCHEM PHYS B","ELSEVIER SCIENCE INC","1096-4959","1879-1107","ZOOLOGY","SCIE","5,982","1.8","Q1","0.75","7.11"%," 42/182 ","2.1","Q1","1.8","0.4",
"Behavioural Processes","BEHAV PROCESS","ELSEVIER","0376-6357","1872-8308","ZOOLOGY","SCIE","5,218","1.5","Q2","0.6","18.73"%," 60/182 ","1.5","Q2","1.4","0.3",
"AMERICAN JOURNAL OF PRIMATOLOGY","AM J PRIMATOL","WILEY","0275-2565","1098-2345","ZOOLOGY","SCIE","4,951","1.8","Q1","0.97","34.08"%," 42/182 ","2","Q1","1.5","0.4",
"JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY","J COMP PHYSIOL A","SPRINGER HEIDELBERG","0340-7594","1432-1351","ZOOLOGY","SCIE","4,522","2.2","Q1","0.76","53.76"%," 20/182 ","2","Q1","1.6","1.3",
"MARINE MAMMAL SCIENCE","MAR MAMMAL SCI","WILEY","0824-0469","1748-7692","ZOOLOGY","SCIE","4,352","1.9","Q1","0.84","37.82"%," 35/182 ","2","Q1","1.6","0.4",
"BEHAVIOUR","BEHAVIOUR","BRILL","0005-7959","1568-539X","ZOOLOGY","SCIE","4,300","1","Q3","0.51","15.92"%," 107/182 ","1.3","Q2","1","0.1",
"ETHOLOGY","ETHOLOGY","WILEY","0179-1613","1439-0310","ZOOLOGY","SCIE","4,127","1.4","Q2","0.55","40.78"%," 69/182 ","1.6","Q2","1.2","0.3",
"ANIMAL COGNITION","ANIM COGN","SPRINGER HEIDELBERG","1435-9448","1435-9456","ZOOLOGY","SCIE","4,035","2.1","Q1","0.94","61.74"%," 24/182 ","2.3","Q1","2","0.4",
"REPRODUCTION FERTILITY AND DEVELOPMENT","REPROD FERT DEVELOP","CSIRO PUBLISHING","1031-3613","1448-5990","ZOOLOGY","SCIE","3,962","2.1","Q1","0.61","22.99"%," 24/182 ","2","Q1","2","0.8",
"CLADISTICS","CLADISTICS","WILEY","0748-3007","1096-0031","ZOOLOGY","SCIE","3,911","6.2","Q1","2.49","26.19"%," 2/182 ","4.7","Q1","5.8","1.1",
"Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology","J COMP PHYSIOL B","SPRINGER HEIDELBERG","0174-1578","1432-136X","ZOOLOGY","SCIE","3,909","1.6","Q2","0.85","32.34"%," 53/182 ","1.8","Q2","1.6","0.8",
"WILDLIFE RESEARCH","WILDLIFE RES","CSIRO PUBLISHING","1035-3712","1448-5494","ZOOLOGY","SCIE","3,689","1.6","Q2","0.7","47.96"%," 53/182 ","2","Q1","1.4","0.4",
"JOURNAL OF NATURAL HISTORY","J NAT HIST","TAYLOR & FRANCIS LTD","0022-2933","1464-5262","ZOOLOGY","SCIE","3,678","0.9","Q3","0.3","7.72"%," 116/182 ","1","Q3","0.8","0.2",
"EUROPEAN JOURNAL OF WILDLIFE RESEARCH","EUR J WILDLIFE RES","SPRINGER","1612-4642","1439-0574","ZOOLOGY","SCIE","3,346","2","Q1","0.76","46.93"%," 32/182 ","2.1","Q1","1.8","0.6",
"JOURNAL OF HERPETOLOGY","J HERPETOL","SOC STUDY AMPHIBIANS REPTILES","0022-1511","1937-2418","ZOOLOGY","SCIE","3,344","0.8","Q3","0.43","0.74"%," 131/182 ","0.9","Q3","0.8","0.2",
"INTERNATIONAL JOURNAL OF PRIMATOLOGY","INT J PRIMATOL","SPRINGER","0164-0291","1573-8604","ZOOLOGY","SCIE","3,339","1.8","Q1","1.08","36.61"%," 42/182 ","2","Q1","1.5","0.4",
"MAMMAL REVIEW","MAMMAL REV","WILEY","N/A","1365-2907","ZOOLOGY","SCIE","3,267","4.4","Q1","0.82","43.68"%," 4/182 ","5.8","Q1","4.2","0.4",
"JOURNAL OF NEMATOLOGY","J NEMATOL","SOC NEMATOLOGISTS","0022-300X","2640-396X","ZOOLOGY","SCIE","3,118","1.3","Q2","0.68","96.91"%," 75/182 ","1.4","Q2","1.2","0.3",
